LipidProbe,gene_name,logFC,pvalue,hit_annotation,CellLine
PA,ANP32B,-1.3860798,0.0236871,no hit,HeLa
PA,SLC25A6,1.1797124,0.0238151,enriched candidate,HeLa
PA,CPS1,1.0270738,0.0239479,enriched candidate,HeLa
PA,ANP32A,-1.1868057,0.0244341,no hit,HeLa
PA,AIFM1,1.0483436,0.0246193,enriched candidate,HeLa
PA,TXN,-0.8956316,0.0247717,no hit,HeLa
PA,YWHAB,-0.8802779,0.0248553,no hit,HeLa
PA,PDHB,1.06992,0.0248684,enriched candidate,HeLa
PA,PTGES,0.5018075,0.025071,no hit,HeLa
PA,PTPRJ,0.5950299,0.0251618,enriched candidate,HeLa
PA,CLPTM1L,1.0283125,0.0256774,enriched candidate,HeLa
PA,SCAMP3,-0.6761965,0.0257679,no hit,HeLa
PA,CLIC4,0.4297073,0.0265122,no hit,HeLa
PA,PPP2R1A,-0.9015254,0.0269971,no hit,HeLa
PA,KRAS,0.7409604,0.0275758,enriched candidate,HeLa
PA,ATP5F1,0.8173218,0.0276858,enriched candidate,HeLa
PA,CLTA,-0.839567,0.0277006,no hit,HeLa
PA,ACAT1,1.0392981,0.0277856,enriched candidate,HeLa
PA,ATP5C1,1.1618019,0.027949,enriched candidate,HeLa
PA,TRAP1,1.2101336,0.0280957,enriched candidate,HeLa
PA,CD46,0.56018,0.0281057,no hit,HeLa
PA,UBA1,-0.8405999,0.0293119,no hit,HeLa
PA,PSME3,-0.745981,0.0303332,no hit,HeLa
PA,UQCRC2,0.9581527,0.0313243,enriched candidate,HeLa
PA,PLIN3,-1.0299114,0.0315516,no hit,HeLa
PA,ADPGK,0.4577273,0.0316733,no hit,HeLa
PA,YBX1,-1.7691166,0.032033,no hit,HeLa
PA,ICAM1,0.6716955,0.0323045,enriched candidate,HeLa
PA,TUBB4B,-0.6867938,0.0324495,no hit,HeLa
PA,APOL2,0.7718817,0.0326253,enriched candidate,HeLa
PA,SAR1A,-0.7370703,0.032772,no hit,HeLa
PA,YWHAE,-0.7459078,0.0330316,no hit,HeLa
PA,ACTC1|ACTA1,0.8024025,0.0333403,enriched candidate,HeLa
PA,SSR4,0.5855332,0.0335823,enriched candidate,HeLa
PA,GPI,-0.7734076,0.0336305,no hit,HeLa
PA,ABCG2,1.2601713,0.0336884,enriched candidate,HeLa
PA,CALM1,0.7661187,0.0337566,enriched candidate,HeLa
PA,IGSF8,0.8283054,0.0340433,enriched candidate,HeLa
PA,PGD,-0.8701061,0.0341524,no hit,HeLa
PA,CD58,0.7876075,0.0347561,enriched candidate,HeLa
PA,SERPINB6,-0.7724718,0.0363172,no hit,HeLa
PA,PGAM1,-1.0205799,0.0364536,no hit,HeLa
PA,HSD17B4,0.7042386,0.0365094,enriched candidate,HeLa
PA,PLXNB2,0.5541265,0.0367329,no hit,HeLa
PA,ATP5O,0.9459344,0.0378524,enriched candidate,HeLa
PA,GLUD1,1.1635431,0.0378675,enriched candidate,HeLa
PA,SRPRA,0.8512058,0.0392771,enriched candidate,HeLa
PA,CACYBP,-0.8579596,0.0393082,no hit,HeLa
PA,TFG,-1.1244618,0.0396581,no hit,HeLa
PA,BTF3,-1.2375595,0.0404243,no hit,HeLa
PA,ZNF598,-0.7775675,0.041073,no hit,HeLa
PA,S100A6,-1.3047142,0.0411125,no hit,HeLa
PA,S100A11,-1.3524704,0.0412764,no hit,HeLa
PA,TALDO1,-1.3120526,0.0413439,no hit,HeLa
PA,NPEPPS,-0.6058937,0.0414172,no hit,HeLa
PA,GNAI3,0.8393447,0.0415973,enriched candidate,HeLa
PA,FKBP4,-0.6903636,0.0416527,no hit,HeLa
PA,PTGR1,-0.7531171,0.0417106,no hit,HeLa
PA,SERBP1,-1.807928,0.042747,no hit,HeLa
PA,CSE1L,-0.8647388,0.0431564,no hit,HeLa
PA,MIF,-1.04417,0.0435434,no hit,HeLa
PA,ECH1,1.0900183,0.0437041,enriched candidate,HeLa
PA,B4GALT1,-0.7047253,0.0438584,no hit,HeLa
PA,ANXA1,-0.5224248,0.0441086,no hit,HeLa
PA,CTTN,0.9015442,0.0445032,enriched candidate,HeLa
PA,PTGFRN,0.7274874,0.0448288,enriched candidate,HeLa
PA,IQGAP1,1.3980589,0.0448654,enriched candidate,HeLa
PA,TXNDC5,0.6153251,0.044958,enriched candidate,HeLa
PA,MDH2,0.8705424,0.0449768,enriched candidate,HeLa
PA,UQCRC1,0.7136781,0.0451219,enriched candidate,HeLa
PA,MYL6,0.5961698,0.0457694,enriched candidate,HeLa
PA,PUF60,-0.4712617,0.0460849,no hit,HeLa
PA,RDX,1.3039637,0.0461561,enriched candidate,HeLa
PA,GNG12,0.5021224,0.0462213,no hit,HeLa
PA,ATP5A1,0.8481773,0.0485491,no hit,HeLa
PA,RAP1A,0.5320556,0.0490914,no hit,HeLa
PA,AGL,-1.0040286,0.0494766,no hit,HeLa
PA,SKP1,-0.7393452,0.049882,no hit,HeLa
PA,GLOD4,-0.8477743,0.0500377,no hit,HeLa
PA,TXNRD1,-0.6101066,0.0505713,no hit,HeLa
PA,RPN2,0.7968537,0.0507365,no hit,HeLa
PA,PPP1CA,0.4903157,0.0512769,no hit,HeLa
PA,HSPH1,-0.5318265,0.053184,no hit,HeLa
PA,SLC25A24,0.9698108,0.053595,no hit,HeLa
PA,KPNB1,-0.6698115,0.053899,no hit,HeLa
PA,TM9SF2,-0.9274344,0.0541365,no hit,HeLa
PA,HSPA4,-0.7347511,0.0542675,no hit,HeLa
PA,ITGA6,0.616065,0.0546545,no hit,HeLa
PA,DHCR7,0.8628836,0.0555554,no hit,HeLa
PA,BPNT1,-0.5667511,0.0562577,no hit,HeLa
PA,YWHAH,-0.7761973,0.0565507,no hit,HeLa
PA,NMT1,-1.162087,0.0570214,no hit,HeLa
PA,RP2,0.6859755,0.0590441,no hit,HeLa
PA,CIB1,0.4424269,0.0602315,no hit,HeLa
PA,TRIM28,0.6867347,0.0605151,no hit,HeLa
PA,MSLN,0.5925356,0.0607018,no hit,HeLa
PA,NECTIN2,0.4771873,0.0613481,no hit,HeLa
PA,AKR1B1,-0.7648907,0.0617305,no hit,HeLa
PA,SLC25A3,0.8302348,0.0623183,no hit,HeLa
PA,ADAM10,0.4694021,0.0627386,no hit,HeLa
PA,TPD52L2,-0.7235519,0.0629491,no hit,HeLa
PA,GTF2I,0.7782688,0.0631256,no hit,HeLa
PA,PPIF,0.9239184,0.0645972,no hit,HeLa
PA,HMOX2,0.482978,0.0668045,no hit,HeLa
PA,GOLT1B,-0.5355459,0.0676244,no hit,HeLa
PA,PARK7,-0.7473461,0.0691631,no hit,HeLa
PA,ACO2,0.6691561,0.0696929,no hit,HeLa
PA,YWHAG,-0.4642422,0.0697281,no hit,HeLa
PA,ETFA,0.7791291,0.0700165,no hit,HeLa
PA,WDR1,1.1206443,0.0702509,no hit,HeLa
PA,SHMT2,1.1096423,0.071513,no hit,HeLa
PA,GNG5,0.5357813,0.0717179,no hit,HeLa
PA,AP1B1,-0.4693235,0.0726385,no hit,HeLa
PA,RAB31,0.475915,0.0729057,no hit,HeLa
PA,RBBP4,0.542319,0.0732154,no hit,HeLa
PA,ATP1A1,0.568779,0.0735322,no hit,HeLa
PA,SDHA,0.9086139,0.0736665,no hit,HeLa
PA,POR,0.6752719,0.0747595,no hit,HeLa
PA,EIF5A,-1.3670257,0.0755064,no hit,HeLa
PA,LIFR,0.4648637,0.0757462,no hit,HeLa
PA,MME,-0.4869324,0.0762257,no hit,HeLa
PA,ITGA5,0.6907537,0.0768046,no hit,HeLa
PA,SFXN1,0.8439585,0.0772622,no hit,HeLa
PA,PPA1,-0.9022483,0.077474,no hit,HeLa
PA,RAP2C,0.4012618,0.077979,no hit,HeLa
PA,GLO1,-0.9432437,0.0804913,no hit,HeLa
PA,PA2G4,-1.0323648,0.0813144,no hit,HeLa
PA,DSG2,0.5092099,0.0815305,no hit,HeLa
PA,LAMC1,0.5137819,0.0816605,no hit,HeLa
PA,GSTM3,-0.7007375,0.0820878,no hit,HeLa
PA,GOT2,0.8470544,0.0823144,no hit,HeLa
PA,SLC43A3,0.5485201,0.0826897,no hit,HeLa
PA,OXCT1,0.659515,0.083171,no hit,HeLa
PA,CS,1.4016306,0.0834149,no hit,HeLa
PA,PRDX1,-0.8641678,0.0842449,no hit,HeLa
PA,USP14,-0.602144,0.0850444,no hit,HeLa
PA,RMDN1,0.7151034,0.08528,no hit,HeLa
PA,PGK1,-0.7322022,0.0870973,no hit,HeLa
PA,BUB3,-0.4248345,0.0872845,no hit,HeLa
PA,HSP90B1,0.8768021,0.0874302,no hit,HeLa
PA,UBXN4,0.5163635,0.0887183,no hit,HeLa
PA,CAPZA1,-0.5595352,0.088927,no hit,HeLa
PA,ACSL3,1.0994523,0.0890577,no hit,HeLa
PA,SLC44A2,0.8047551,0.0904399,no hit,HeLa
PA,PEBP1,-1.0342547,0.0915596,no hit,HeLa
PA,TRMT10C,0.7804957,0.0921464,no hit,HeLa
PA,NEGR1,0.3925125,0.0943592,no hit,HeLa
PA,MLEC,0.5586669,0.0946951,no hit,HeLa
PA,QARS,0.3944565,0.0972788,no hit,HeLa
PA,ENO1,-0.6567392,0.0973372,no hit,HeLa
PA,GDA,-0.6464967,0.0986695,no hit,HeLa
PA,RPS28,-0.6225026,0.0987896,no hit,HeLa
PA,ARFGAP1,-0.5605887,0.0993044,no hit,HeLa
PA,ECI1,0.8083904,0.1000294,no hit,HeLa
PA,DAG1,0.6328029,0.1001741,no hit,HeLa
PA,F11R,0.6703346,0.1011202,no hit,HeLa
PA,TUFM,1.1617206,0.1027527,no hit,HeLa
PA,HSPA1B|HSPA1A,-0.4351823,0.1032678,no hit,HeLa
PA,MAT2A,-0.6444786,0.1032697,no hit,HeLa
PA,SLC1A5,0.4066043,0.1039616,no hit,HeLa
PA,ALDH3A2,0.7284483,0.104558,no hit,HeLa
PA,PRDX3,1.1454577,0.1060583,no hit,HeLa
PA,CLINT1,-1.0843148,0.1061654,no hit,HeLa
PA,CAPN2,-0.4646363,0.1093045,no hit,HeLa
PA,CD59,0.5405265,0.1099009,no hit,HeLa
PA,ATL2,0.5416945,0.1101676,no hit,HeLa
PA,EIF3M,-0.5956659,0.1116491,no hit,HeLa
PA,MYDGF,0.64111,0.1119904,no hit,HeLa
PA,CAPRIN1,-1.1131676,0.113929,no hit,HeLa
PA,DLD,0.9607469,0.1139656,no hit,HeLa
PA,RAN,-0.3879245,0.1141586,no hit,HeLa
PA,GIGYF2,-0.8588753,0.1155944,no hit,HeLa
PA,DSP,-0.7004315,0.1169136,no hit,HeLa
PA,LSS,0.3643852,0.1178693,no hit,HeLa
PA,CDH10,0.5228095,0.1191043,no hit,HeLa
PA,SLC38A5,0.5757868,0.1195638,no hit,HeLa
PA,USP10,-0.7552357,0.1196238,no hit,HeLa
PA,MCAM,0.7428621,0.1198088,no hit,HeLa
PA,MSN,1.4877823,0.1198543,no hit,HeLa
PA,TLN1,0.4964995,0.1200941,no hit,HeLa
PA,ALG5,0.6799184,0.120567,no hit,HeLa
PA,SUPT16H,0.3565489,0.1207534,no hit,HeLa
PA,CCT8,0.5130406,0.121007,no hit,HeLa
PA,MMP15,0.4099008,0.1213524,no hit,HeLa
PA,ADAM9,0.4688802,0.1214535,no hit,HeLa
PA,TAPBP,0.5379738,0.1215162,no hit,HeLa
PA,BZW2,-0.5642821,0.1219288,no hit,HeLa
PA,DDOST,0.587256,0.122585,no hit,HeLa
PA,EPB41L2,0.9540247,0.1226985,no hit,HeLa
PA,SUCLG2,0.8475886,0.1232421,no hit,HeLa
PA,LRPPRC,0.8803241,0.1235478,no hit,HeLa
PA,G3BP2,-1.3005146,0.1238397,no hit,HeLa
PA,RPN1,0.9055281,0.1245692,no hit,HeLa
PA,RAB8A,0.3653774,0.1251734,no hit,HeLa
PA,C17orf75,-0.3864451,0.1263078,no hit,HeLa
PA,HNRNPA2B1,-0.5177406,0.1267995,no hit,HeLa
PA,CAPZB,-0.4487241,0.1270582,no hit,HeLa
PA,HSD17B10,0.6434498,0.1279775,no hit,HeLa
PA,FLOT2,0.716083,0.1282138,no hit,HeLa
PA,VDAC2,0.6761461,0.1286019,no hit,HeLa
PA,SLIRP,0.8045309,0.1291731,no hit,HeLa
PA,ANXA3,-0.6137583,0.1298005,no hit,HeLa
PA,STT3A,0.5832009,0.130501,no hit,HeLa
PA,COX5A,0.6865719,0.1308077,no hit,HeLa
PA,CD320,0.3318795,0.1317788,no hit,HeLa
PA,EIF4A1,-1.0769287,0.1320805,no hit,HeLa
PA,HSPA5,0.7608667,0.1340677,no hit,HeLa
PA,ARL15,0.4211931,0.134865,no hit,HeLa
PA,FAM234A,0.4876238,0.1354343,no hit,HeLa
PA,SGTA,-0.6912632,0.1355253,no hit,HeLa
PA,ACTR3,0.7209652,0.1361174,no hit,HeLa
PA,GPX8,0.7813264,0.1384419,no hit,HeLa
PA,NSDHL,0.610431,0.1396551,no hit,HeLa
PA,SAE1,-0.6869693,0.1399645,no hit,HeLa
PA,TPI1,-0.8752863,0.14031,no hit,HeLa
PA,GNB2,0.9235087,0.1415669,no hit,HeLa
PA,PHB,1.0004014,0.1415971,no hit,HeLa
PA,ALDOC,-0.46236,0.1417159,no hit,HeLa
PA,DNPH1,-0.5491632,0.1432261,no hit,HeLa
PA,BSG,0.7674527,0.1432631,no hit,HeLa
PA,NUDT21,0.3128488,0.1436832,no hit,HeLa
PA,CNOT1,-0.977367,0.1438879,no hit,HeLa
PA,EZR,1.2053525,0.1447796,no hit,HeLa
PA,RPS12,-0.5167728,0.1453146,no hit,HeLa
PA,ERP29,0.8413553,0.1453974,no hit,HeLa
PA,RHOA,0.3476848,0.145595,no hit,HeLa
PA,FLOT1,0.7270289,0.1458074,no hit,HeLa
PA,KDELC2,0.4823694,0.1460138,no hit,HeLa
PA,GCN1,-1.0153633,0.1481564,no hit,HeLa
PA,STX6,-0.3582669,0.1487628,no hit,HeLa
PA,GSS,-0.5830147,0.1490047,no hit,HeLa
PA,RPS10,-1.0015419,0.1493796,no hit,HeLa
PA,CPM,0.6025927,0.1507395,no hit,HeLa
PA,NAA15,-1.1184321,0.1511476,no hit,HeLa
PA,SBDS,-0.6783491,0.1515137,no hit,HeLa
PA,DKFZp566H1924|NPTN,0.7993142,0.1515462,no hit,HeLa
PA,CNP,1.0902907,0.1517786,no hit,HeLa
PA,PLOD3,0.7053834,0.1517808,no hit,HeLa
PA,SYNGR2,-0.5886332,0.1522276,no hit,HeLa
PA,TUBB,-0.6155474,0.1551852,no hit,HeLa
PA,HSPD1,0.9014326,0.1561475,no hit,HeLa
PA,TPP2,0.814883,0.156263,no hit,HeLa
PA,PSME2,-0.6709449,0.1574189,no hit,HeLa
PA,TMEM43,0.3461815,0.1575705,no hit,HeLa
PA,FOLR1,0.7011765,0.1580814,no hit,HeLa
PA,MDH1,-0.5272863,0.1583154,no hit,HeLa
PA,PMPCB,0.6668214,0.1590304,no hit,HeLa
PA,COLGALT1,0.8325576,0.1591766,no hit,HeLa
PA,ARPC3,0.3714443,0.1598194,no hit,HeLa
PA,ATP5H,0.8068191,0.1600204,no hit,HeLa
PA,LGALS1,0.4184166,0.160468,no hit,HeLa
PA,RTN4RL2,0.4518794,0.1605016,no hit,HeLa
PA,CAPZA2,-0.3140864,0.1619901,no hit,HeLa
PA,TPM3|DKFZp686J1372,0.6399644,0.162359,no hit,HeLa
PA,FAM120A,-0.6677745,0.1667286,no hit,HeLa
PA,ATP11C,0.3302766,0.1685136,no hit,HeLa
PA,CNPY3,0.433502,0.1691744,no hit,HeLa
PA,PSME1,-0.8286533,0.1701342,no hit,HeLa
PA,EIF5B,-0.9652211,0.1713992,no hit,HeLa
PA,DSTN,0.4122759,0.1724723,no hit,HeLa
PA,ATP5B,0.6481431,0.1725493,no hit,HeLa
PA,TXNL1,-0.5509991,0.1734693,no hit,HeLa
PA,PRDX2,-0.7865315,0.175715,no hit,HeLa
PA,HSPA13,0.4182579,0.1760926,no hit,HeLa
PA,SERPINH1,0.9489722,0.1769333,no hit,HeLa
PA,AHCY,-0.3680976,0.1802514,no hit,HeLa
PA,WDR61,-0.534753,0.1806211,no hit,HeLa
PA,DYNC1H1,-0.9744223,0.1809552,no hit,HeLa
PA,PHB2,1.0352517,0.1812454,no hit,HeLa
PA,CAT,0.5579615,0.18141,no hit,HeLa
PA,EIF3K,-0.3610334,0.181426,no hit,HeLa
PA,PRKAR2A,-0.2634099,0.1821578,no hit,HeLa
PA,RPL38,-1.3763703,0.18223520000000001,no hit,HeLa
PA,ACSL4,0.9251326,0.1822896,no hit,HeLa
PA,NPR3,0.3784486,0.18241,no hit,HeLa
PA,HLA-C,0.3664717,0.1843322,no hit,HeLa
PA,LARP4,-0.8570415,0.1843746,no hit,HeLa
PA,XPO1,-0.4884276,0.184972,no hit,HeLa
PA,PRMT1,-0.4148341,0.1861481,no hit,HeLa
PA,ITGA3,0.4757438,0.1862523,no hit,HeLa
PA,RACGAP1,1.2548032,0.1863014,no hit,HeLa
PA,RPLP1,-0.6976493,0.1880194,no hit,HeLa
PA,MYO1B,1.0768574,0.1884016,no hit,HeLa
PA,SLC35B2,-0.4295009,0.1891595,no hit,HeLa
PA,HSPA8,-0.3693488,0.1905722,no hit,HeLa
PA,PSMA2,-0.3567348,0.1908187,no hit,HeLa
PA,AP2A1,0.4433187,0.1915044,no hit,HeLa
PA,TOR1AIP2,0.4197331,0.1921655,no hit,HeLa
PA,ACTN1,0.9289429,0.1938871,no hit,HeLa
PA,PGRMC1,0.4523851,0.1948146,no hit,HeLa
PA,ACTN4,1.2041321,0.1955819,no hit,HeLa
PA,PABPC4,-0.6944954,0.1959278,no hit,HeLa
PA,G3BP1,-0.9409152,0.1964417,no hit,HeLa
PA,ADRM1,-0.5774512,0.1966368,no hit,HeLa
PA,P4HA1,0.4905861,0.1977732,no hit,HeLa
PA,CMPK1,-0.5004241,0.1978787,no hit,HeLa
PA,HPRT1,-0.6949907,0.1993951,no hit,HeLa
PA,GRB2,-0.5558618,0.200744,no hit,HeLa
PA,SLC6A9,0.3530572,0.2012579,no hit,HeLa
PA,NASP,-0.5373574,0.2024011,no hit,HeLa
PA,ECHS1,0.7161459,0.2028539,no hit,HeLa
PA,FDFT1,0.5369991,0.2040962,no hit,HeLa
