gene_name,protein_id,Protein.Description,LipidProbe,sample,logFC,AveExpr,pvalue,hit_annotation
TMX2,Q9Y320,Thioredoxin-related transmembrane protein 2,PE,membrane,0.792894044,21.78177836,0.02703749,candidate
COQ9,O75208,"Ubiquinone biosynthesis protein COQ9, mitochondrial",PE,membrane,0.722996555,19.55592816,0.027246903,candidate
MTCH2,Q9Y6C9,Mitochondrial carrier homolog 2,PE,membrane,0.700934302,19.22558045,0.028103726,candidate
IQGAP1,P46940,Ras GTPase-activating-like protein IQGAP1,PE,membrane,1.067266303,23.6439439,0.029437235,candidate
DLD,P09622,"Dihydrolipoyl dehydrogenase, mitochondrial",PE,membrane,1.068026597,21.9948431,0.030444699,candidate
SUCLG2,Q96I99,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",PE,membrane,1.010338535,19.33303854,0.030846503,candidate
NPR1,P16066,Atrial natriuretic peptide receptor 1,PE,membrane,0.668547759,17.10375482,0.031735679,candidate
GPX8,Q8TED1,Probable glutathione peroxidase 8,PE,membrane,0.827284238,19.2618463,0.031987019,candidate
FAS,P25445,Tumor necrosis factor receptor superfamily member 6,PE,membrane,0.848933839,19.4058056,0.033097568,candidate
ECHS1,P30084,"Enoyl-CoA hydratase, mitochondrial",PE,membrane,1.118492307,22.64441547,0.033100285,candidate
RDX,P35241,Radixin,PE,membrane,1.00525607,22.77986462,0.03388006,candidate
COX5A,P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",PE,membrane,0.962714375,18.99378633,0.034833342,candidate
PPA2,Q9H2U2,"Inorganic pyrophosphatase 2, mitochondrial",PE,membrane,0.615090811,17.35825034,0.035707134,candidate
NNT,Q13423,"NAD(P) transhydrogenase, mitochondrial",PE,membrane,0.669897192,17.50107296,0.039975068,candidate
ATP5F1B,P06576,"ATP synthase subunit beta, mitochondrial",PE,membrane,0.824686427,23.704151,0.040680372,candidate
WDR1,O75083,WD repeat-containing protein 1,PE,membrane,0.73133461,20.03280854,0.043653365,candidate
TMEM33,P57088,Transmembrane protein 33,PE,membrane,0.68481768,22.18914589,0.043704308,candidate
ERP29,P30040,Endoplasmic reticulum resident protein 29,PE,membrane,0.861834407,22.47308826,0.046341307,candidate
CD9,P21926,CD9 antigen,PE,membrane,0.70961929,21.39181596,0.048665576,candidate
CKAP4,Q07065,Cytoskeleton-associated protein 4,PE,membrane,1.046191012,22.50010481,0.050187726,candidate
SCD,O00767,Stearoyl-CoA desaturase,PE,membrane,0.733033114,20.51205902,0.052747452,candidate
VDAC2,P45880,Voltage-dependent anion-selective channel protein 2,PE,membrane,0.68510073,22.54852612,0.059148969,candidate
IKBIP,Q70UQ0,Inhibitor of nuclear factor kappa-B kinase-interacting protein,PE,membrane,0.932131771,17.28795329,0.059348878,candidate
SERPINH1,P50454,Serpin H1,PE,membrane,0.957326644,23.15971977,0.06152976,candidate
DCXR,Q7Z4W1,L-xylulose reductase,PE,membrane,0.641508959,18.76619983,0.062841671,candidate
IGSF8,Q969P0,Immunoglobulin superfamily member 8,PE,membrane,0.623869024,21.63283823,0.062859098,candidate
ACTN1,P12814,Alpha-actinin-1,PE,membrane,0.846499446,21.10618393,0.064082828,candidate
TOMM22,Q9NS69,Mitochondrial import receptor subunit TOM22 homolog,PE,membrane,0.858014477,18.15662967,0.06607366,candidate
SOD2,P04179,"Superoxide dismutase [Mn], mitochondrial",PE,membrane,1.050711267,19.06671892,0.06628727,candidate
SYNJ2BP,P57105,Synaptojanin-2-binding protein,PE,membrane,0.645018218,18.54107692,0.068565596,candidate
AK2,P54819,"Adenylate kinase 2, mitochondrial",PE,membrane,0.749968399,22.37643978,0.068857178,candidate
PMPCB,O75439,Mitochondrial-processing peptidase subunit beta,PE,membrane,0.62214789,20.4228808,0.069079419,candidate
TPP2,P29144,Tripeptidyl-peptidase 2,PE,membrane,0.791180572,21.39541228,0.070391036,candidate
BSG,P35613,Basigin,PE,membrane,0.774334412,23.73736592,0.072205308,candidate
CLCC1,Q96S66,Chloride channel CLIC-like protein 1,PE,membrane,0.588452266,20.01649155,0.074471535,candidate
FDFT1,P37268,Squalene synthase,PE,membrane,0.592121523,20.97080569,0.074650349,candidate
DNAJB11,Q9UBS4,DnaJ homolog subfamily B member 11,PE,membrane,0.883667739,19.2515392,0.079323196,candidate
TPM4,P67936,Tropomyosin alpha-4 chain,PE,membrane,0.591108339,20.58704091,0.083552749,candidate
RCN1,Q15293,Reticulocalbin-1,PE,membrane,1.191485485,18.69887173,9.7e-7,enriched hit
UQCRH,P07919,"Cytochrome b-c1 complex subunit 6, mitochondrial",PE,membrane,1.40556124,18.02298199,5.72e-6,enriched hit
IDH3A,P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",PE,membrane,1.082209274,19.64694039,1.45e-5,enriched hit
MET,P08581,Hepatocyte growth factor receptor,PE,membrane,0.829668803,20.71625227,2.2e-5,enriched hit
ATP1B1,P05026,Sodium/potassium-transporting ATPase subunit beta-1,PE,membrane,1.043068773,22.69482238,2.86e-5,enriched hit
ETFB,P38117,Electron transfer flavoprotein subunit beta,PE,membrane,1.490578651,20.9392935,4.15e-5,enriched hit
EGFR,P00533,Epidermal growth factor receptor,PE,membrane,1.051185172,22.88505221,4.21e-5,enriched hit
NDUFA4,O00483,Cytochrome c oxidase subunit NDUFA4,PE,membrane,1.592362937,19.36633726,4.48e-5,enriched hit
CPS1,P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",PE,membrane,1.218753147,23.39989519,4.8e-5,enriched hit
PDIA3,P30101,Protein disulfide-isomerase A3,PE,membrane,1.197905195,24.40784171,5.33e-5,enriched hit
PYCR1,P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",PE,membrane,1.619300434,18.30974353,5.49e-5,enriched hit
HSD17B4,P51659,Peroxisomal multifunctional enzyme type 2,PE,membrane,0.924048183,22.73398428,6.84e-5,enriched hit
HYOU1,Q9Y4L1,Hypoxia up-regulated protein 1,PE,membrane,0.994329417,21.80318594,7.26e-5,enriched hit
SLC25A5,P05141,ADP/ATP translocase 2,PE,membrane,1.900771877,23.60863597,1.00775e-4,enriched hit
HADH,Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",PE,membrane,1.17153416,18.26883404,1.05641e-4,enriched hit
SPCS2,Q15005,Signal peptidase complex subunit 2,PE,membrane,0.939760335,22.28444329,1.07522e-4,enriched hit
STOM,P27105,Stomatin,PE,membrane,0.995655166,22.62848501,1.23208e-4,enriched hit
ATP2B1,P20020,Plasma membrane calcium-transporting ATPase 1,PE,membrane,0.790978686,23.46488784,1.26285e-4,enriched hit
SLC9A3R1,O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,PE,membrane,1.031796348,21.8627385,1.27658e-4,enriched hit
ATP5PO,P48047,"ATP synthase subunit O, mitochondrial",PE,membrane,1.249776299,20.52672254,1.39377e-4,enriched hit
PPIB,P23284,Peptidyl-prolyl cis-trans isomerase B,PE,membrane,1.16095286,24.85003382,1.43096e-4,enriched hit
GANAB,Q14697,Neutral alpha-glucosidase AB,PE,membrane,0.717193582,23.50012261,1.70863e-4,enriched hit
SLC25A22,Q9H936,Mitochondrial glutamate carrier 1,PE,membrane,0.92459258,17.96429672,1.80429e-4,enriched hit
OXCT1,P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",PE,membrane,0.99572008,21.7605609,2.19089e-4,enriched hit
SLC30A1,Q9Y6M5,Proton-coupled zinc antiporter SLC30A1,PE,membrane,0.823908505,20.57118977,2.37778e-4,enriched hit
NOMO1,Q15155,Nodal modulator 1,PE,membrane,1.096112703,21.25579301,2.41557e-4,enriched hit
SLC25A11,Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein,PE,membrane,1.295019743,17.57678401,2.60238e-4,enriched hit
AIFM1,O95831,"Apoptosis-inducing factor 1, mitochondrial",PE,membrane,1.341339771,18.98813274,2.97289e-4,enriched hit
HSDL2,Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,PE,membrane,0.636594048,19.42986051,3.03267e-4,enriched hit
PDIA6,Q15084,Protein disulfide-isomerase A6,PE,membrane,0.72310644,22.28669064,3.20594e-4,enriched hit
PON2,Q15165,Serum paraoxonase/arylesterase 2,PE,membrane,0.859993344,18.75073349,3.27037e-4,enriched hit
L1CAM,P32004,Neural cell adhesion molecule L1,PE,membrane,1.113953354,23.80540969,3.40719e-4,enriched hit
SRPRA,P08240,Signal recognition particle receptor subunit alpha,PE,membrane,1.004507844,20.35226406,3.93623e-4,enriched hit
NCLN,Q969V3,Nicalin,PE,membrane,1.147044368,16.61514508,4.02462e-4,enriched hit
PDHB,P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PE,membrane,1.439010361,19.07848591,4.10711e-4,enriched hit
CYP51A1,Q16850,Lanosterol 14-alpha demethylase,PE,membrane,0.855151381,20.60047623,4.13756e-4,enriched hit
HSPA9,P38646,"Stress-70 protein, mitochondrial",PE,membrane,1.710876612,24.36163996,4.21765e-4,enriched hit
IGF1R,P08069,Insulin-like growth factor 1 receptor,PE,membrane,0.664250694,20.2769184,4.31428e-4,enriched hit
PDHX,O00330,"Pyruvate dehydrogenase protein X component, mitochondrial",PE,membrane,0.934142227,18.38522952,4.38093e-4,enriched hit
CRTAP,O75718,Cartilage-associated protein,PE,membrane,0.914227066,19.48037538,4.62184e-4,enriched hit
FH,P07954,"Fumarate hydratase, mitochondrial",PE,membrane,1.277907962,21.18584942,4.64228e-4,enriched hit
ATP5F1A,P25705,"ATP synthase subunit alpha, mitochondrial",PE,membrane,1.427150897,23.6922543,4.69971e-4,enriched hit
ATP2B4,P23634,Plasma membrane calcium-transporting ATPase 4,PE,membrane,0.694528015,21.28773168,4.77305e-4,enriched hit
TSFM,P43897,"Elongation factor Ts, mitochondrial",PE,membrane,0.674267725,17.35497218,4.85588e-4,enriched hit
EPHB4,P54760,Ephrin type-B receptor 4,PE,membrane,0.595670232,20.15735538,5.13621e-4,enriched hit
SSBP1,Q04837,"Single-stranded DNA-binding protein, mitochondrial",PE,membrane,1.402413985,18.84172621,5.64491e-4,enriched hit
RRAS2,P62070,Ras-related protein R-Ras2,PE,membrane,0.635690454,22.13089354,5.6791e-4,enriched hit
SLC25A6,P12236,ADP/ATP translocase 3,PE,membrane,1.245869121,20.50797732,6.4803e-4,enriched hit
GNAO1,P09471,Guanine nucleotide-binding protein G(o) subunit alpha,PE,membrane,0.64542141,18.55356084,7.27671e-4,enriched hit
GNA13,Q14344,Guanine nucleotide-binding protein subunit alpha-13,PE,membrane,0.732664324,20.97043031,7.52994e-4,enriched hit
ATP5PB,P24539,"ATP synthase F(0) complex subunit B1, mitochondrial",PE,membrane,1.007680826,20.96036489,7.74498e-4,enriched hit
ATP5F1E,P56381,"ATP synthase subunit epsilon, mitochondrial",PE,membrane,1.028217859,19.67912705,7.91417e-4,enriched hit
CISD2,Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,PE,membrane,1.31972854,21.96880273,8.16908e-4,enriched hit
RALA,P11233,Ras-related protein Ral-A,PE,membrane,0.970871068,22.30226981,8.19364e-4,enriched hit
PRSS21,Q9Y6M0,Testisin,PE,membrane,0.720224395,20.3781156,8.58019e-4,enriched hit
NIBAN2,Q96TA1,Protein Niban 2,PE,membrane,0.964077915,21.22975702,9.1126e-4,enriched hit
TXNDC5,Q8NBS9,Thioredoxin domain-containing protein 5,PE,membrane,0.644307949,22.31475574,9.19284e-4,enriched hit
CANX,P27824,Calnexin,PE,membrane,0.890552796,25.23591437,9.23194e-4,enriched hit
ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",PE,membrane,0.987117589,18.57848581,9.7044e-4,enriched hit
CD55,P08174,Complement decay-accelerating factor,PE,membrane,0.756760459,23.84802786,0.001023894,enriched hit
TCOF1,Q13428,Treacle protein,PE,membrane,0.734920979,17.69548229,0.001031487,enriched hit
NIBAN1,Q9BZQ8,Protein Niban 1,PE,membrane,0.745523885,18.51850392,0.001049752,enriched hit
INPP5A,Q14642,Inositol polyphosphate-5-phosphatase A,PE,membrane,0.601398653,18.97274026,0.001109993,enriched hit
SLC25A3,Q00325,"Phosphate carrier protein, mitochondrial",PE,membrane,1.216982648,23.54654185,0.001113225,enriched hit
SRPRB,Q9Y5M8,Signal recognition particle receptor subunit beta,PE,membrane,1.15361709,21.67277202,0.001123178,enriched hit
SHMT2,P34897,"Serine hydroxymethyltransferase, mitochondrial",PE,membrane,1.304188796,19.69566979,0.001153035,enriched hit
WDR5,P61964,WD repeat-containing protein 5,PE,membrane,0.653589695,18.53383403,0.001224511,enriched hit
HADHA,P40939,"Trifunctional enzyme subunit alpha, mitochondrial",PE,membrane,0.827516272,19.57503092,0.00123109,enriched hit
SLC26A6,Q9BXS9,Solute carrier family 26 member 6,PE,membrane,0.695559867,19.33184128,0.001242405,enriched hit
SDHA,P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",PE,membrane,1.027223345,21.06973098,0.00124547,enriched hit
ACADM,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",PE,membrane,0.852654628,19.45417321,0.001300365,enriched hit
ACTC1,P68032,"Actin, alpha cardiac muscle 1",PE,membrane,0.776107291,21.82210314,0.001305185,enriched hit
CLPTM1L,Q96KA5,Lipid scramblase CLPTM1L,PE,membrane,1.117479134,18.50454928,0.001368778,enriched hit
RAB32,Q13637,Ras-related protein Rab-32,PE,membrane,0.595487497,18.52945532,0.001445923,enriched hit
COX4I1,P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",PE,membrane,1.009343843,21.48128348,0.001498626,enriched hit
ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",PE,membrane,1.173128835,21.0377508,0.00154057,enriched hit
SDHB,P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",PE,membrane,1.057779033,19.95135406,0.001598226,enriched hit
ATP5F1C,P36542,"ATP synthase subunit gamma, mitochondrial",PE,membrane,1.401009095,20.41805594,0.001663005,enriched hit
POR,P16435,NADPH--cytochrome P450 reductase,PE,membrane,1.062099234,23.58262631,0.001746701,enriched hit
ACOX1,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,PE,membrane,0.792357316,19.59506369,0.001834011,enriched hit
DPAGT1,Q9H3H5,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase,PE,membrane,0.71893012,19.88671387,0.001907959,enriched hit
SLIRP,Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",PE,membrane,1.377969332,19.92272683,0.00192553,enriched hit
PLOD2,O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PE,membrane,0.658480068,20.05299757,0.002014337,enriched hit
TRMT10C,Q7L0Y3,tRNA methyltransferase 10 homolog C,PE,membrane,0.898328625,18.76206443,0.002070979,enriched hit
GNA11,P29992,Guanine nucleotide-binding protein subunit alpha-11,PE,membrane,0.658426496,21.90866517,0.002112633,enriched hit
TOR1AIP1,Q5JTV8,Torsin-1A-interacting protein 1,PE,membrane,1.249982452,19.25526855,0.00211963,enriched hit
PPIF,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PE,membrane,1.224137218,20.32682237,0.002240674,enriched hit
RPN2,P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,PE,membrane,0.897595632,21.95535998,0.00230304,enriched hit
LYPD3,O95274,Ly6/PLAUR domain-containing protein 3,PE,membrane,0.621724825,20.85147601,0.002379377,enriched hit
BASP1,P80723,Brain acid soluble protein 1,PE,membrane,1.967630255,23.41103032,0.002418226,enriched hit
TMEM214,Q6NUQ4,Transmembrane protein 214,PE,membrane,1.033192258,19.45141302,0.002457574,enriched hit
TRAP1,Q12931,"Heat shock protein 75 kDa, mitochondrial",PE,membrane,1.161700296,20.54970353,0.002507954,enriched hit
MDH2,P40926,"Malate dehydrogenase, mitochondrial",PE,membrane,0.975006304,22.39469081,0.002698985,enriched hit
SCCPDH,Q8NBX0,Saccharopine dehydrogenase-like oxidoreductase,PE,membrane,0.895154183,18.73698275,0.003108491,enriched hit
MLEC,Q14165,Malectin,PE,membrane,0.634103018,21.12812674,0.003153919,enriched hit
VDAC3,Q9Y277,Voltage-dependent anion-selective channel protein 3,PE,membrane,0.697619632,19.39272586,0.003427118,enriched hit
GNAI1,P63096,Guanine nucleotide-binding protein G(i) subunit alpha-1,PE,membrane,0.608217729,21.5239396,0.003601471,enriched hit
GNAS,Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,PE,membrane,0.730799736,23.11018255,0.003618746,enriched hit
RAP1A,P62834,Ras-related protein Rap-1A,PE,membrane,0.667369569,19.55483643,0.003720939,enriched hit
RALB,P11234,Ras-related protein Ral-B,PE,membrane,0.610127226,19.80889367,0.0038913,enriched hit
HSPD1,P10809,"60 kDa heat shock protein, mitochondrial",PE,membrane,1.6515312,25.0427557,0.003967465,enriched hit
LRRC59,Q96AG4,Leucine-rich repeat-containing protein 59,PE,membrane,0.987020597,21.53055737,0.004051715,enriched hit
GLUD1,P00367,"Glutamate dehydrogenase 1, mitochondrial",PE,membrane,1.252937952,20.37539729,0.00433567,enriched hit
TAPBP,O15533,Tapasin,PE,membrane,0.822040722,19.39962263,0.00467816,enriched hit
SSR1,P43307,Translocon-associated protein subunit alpha,PE,membrane,1.106499061,19.46858834,0.004714091,enriched hit
GOT2,P00505,"Aspartate aminotransferase, mitochondrial",PE,membrane,1.170960918,22.51987098,0.004810594,enriched hit
ROBO1,Q9Y6N7,Roundabout homolog 1,PE,membrane,0.618505091,20.76104703,0.004863829,enriched hit
HSP90B1,P14625,Endoplasmin,PE,membrane,1.114109619,24.46919624,0.00501615,enriched hit
HIBADH,P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",PE,membrane,1.166368952,17.31081027,0.005026956,enriched hit
ECH1,Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",PE,membrane,1.215272299,20.01295868,0.005312273,enriched hit
AXL,P30530,Tyrosine-protein kinase receptor UFO,PE,membrane,0.630582439,19.19549153,0.005594587,enriched hit
HPDL,Q96IR7,4-hydroxyphenylpyruvate dioxygenase-like protein,PE,membrane,0.752622205,18.40419526,0.005670222,enriched hit
ACADVL,P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",PE,membrane,0.697819168,18.19372032,0.005712297,enriched hit
OCIAD1,Q9NX40,OCIA domain-containing protein 1,PE,membrane,0.620413923,18.89468688,0.006316238,enriched hit
CS,O75390,"Citrate synthase, mitochondrial",PE,membrane,1.068195389,19.95319981,0.006348156,enriched hit
SSR4,P51571,Translocon-associated protein subunit delta,PE,membrane,0.745384722,22.55833495,0.006360398,enriched hit
DLAT,P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",PE,membrane,0.959572413,18.31192523,0.006440699,enriched hit
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF,PE,membrane,0.619036561,19.07603145,0.006854562,enriched hit
FAM162A,Q96A26,Protein FAM162A,PE,membrane,0.885328838,19.27324673,0.007072244,enriched hit
GSTK1,Q9Y2Q3,Glutathione S-transferase kappa 1,PE,membrane,0.629331853,20.794324369999998,0.007228035,enriched hit
NPTX1,Q15818,Neuronal pentraxin-1,PE,membrane,0.661121701,20.44346055,0.007573228,enriched hit
JUP,P14923,Junction plakoglobin,PE,membrane,0.665911714,22.80662439,0.007578872,enriched hit
NSDHL,Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",PE,membrane,0.736134719,21.73326973,0.007688387,enriched hit
HADHB,P55084,"Trifunctional enzyme subunit beta, mitochondrial",PE,membrane,1.03100329,18.54311175,0.007732666,enriched hit
MRPL12,P52815,"39S ribosomal protein L12, mitochondrial",PE,membrane,0.831025928,18.71092266,0.007784016,enriched hit
ALG5,Q9Y673,Dolichyl-phosphate beta-glucosyltransferase,PE,membrane,0.735533791,19.43024524,0.007802057,enriched hit
TMCO1,Q9UM00,Calcium load-activated calcium channel,PE,membrane,1.243166547,20.20846888,0.008063652,enriched hit
PHB1,P35232,Prohibitin 1,PE,membrane,1.109149259,21.80531573,0.008111162,enriched hit
GNB2,P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,PE,membrane,0.745549468,20.46608196,0.008251726,enriched hit
LRPPRC,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",PE,membrane,0.946680554,21.89348662,0.0089995,enriched hit
GNAI2,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,PE,membrane,0.695155324,21.20886622,0.009038101,enriched hit
GNAI3,P08754,Guanine nucleotide-binding protein G(i) subunit alpha-3,PE,membrane,0.700651362,23.357584,0.009072761,enriched hit
CISD1,Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,PE,membrane,0.800352469,19.75460577,0.009191797,enriched hit
STRAP,Q9Y3F4,Serine-threonine kinase receptor-associated protein,PE,membrane,-1.600297536,22.67066521,2.74e-7,no hit
PCBP1,Q15365,Poly(rC)-binding protein 1,PE,membrane,-1.611089279,22.78560782,6.07e-7,no hit
MAP4,P27816,Microtubule-associated protein 4,PE,membrane,-1.31603047,21.34103645,8.07e-7,no hit
TPT1,P13693,Translationally-controlled tumor protein,PE,membrane,-1.723301824,22.57664202,3.61e-6,no hit
MAGEA1,P43355,Melanoma-associated antigen 1,PE,membrane,-1.060741164,18.54090785,5.79e-6,no hit
SEC24C,P53992,Protein transport protein Sec24C,PE,membrane,-1.107965413,22.03681321,6.38e-6,no hit
PDCD6,O75340,Programmed cell death protein 6,PE,membrane,-1.794047177,24.10198726,9.61e-6,no hit
EIF4E,P06730,Eukaryotic translation initiation factor 4E,PE,membrane,-0.908575772,20.57954719,1.14e-5,no hit
EEF1G,P26641,Elongation factor 1-gamma,PE,membrane,-1.4940898,23.245,1.24e-5,no hit
COPE,O14579,Coatomer subunit epsilon,PE,membrane,-0.879359629,20.45922257,1.37e-5,no hit
MAGOH,P61326,Protein mago nashi homolog,PE,membrane,-0.940471841,19.45365236,2.61e-5,no hit
MAPRE1,Q15691,Microtubule-associated protein RP/EB family member 1,PE,membrane,-1.237514385,21.33678766,2.7e-5,no hit
UBE2V1,Q13404,Ubiquitin-conjugating enzyme E2 variant 1,PE,membrane,-1.094262392,20.39497783,3.15e-5,no hit
UBE2D3,P61077,Ubiquitin-conjugating enzyme E2 D3,PE,membrane,-1.054181677,19.92334166,3.55e-5,no hit
SEC23A,Q15436,Protein transport protein Sec23A,PE,membrane,-0.829101864,21.1590017,3.62e-5,no hit
