Gene,Protein.ID,Protein.Description,logFC,AveExpr,comparison.label,sample,pvalue,hit_annotation
GAPVD1,Q14C86,GTPase-activating protein and VPS9 domain-containing protein 1,-1.897614217,21.83981913,PA_UV vs PA_NoUV,cytosole,3.99E-13,hit
ATIC,P31939,Bifunctional purine biosynthesis protein ATIC,-1.633267038,23.54458173,PA_UV vs PA_NoUV,cytosole,4.14E-13,hit
TBCD,Q9BTW9,Tubulin-specific chaperone D,-1.499298845,20.74814713,PA_UV vs PA_NoUV,cytosole,4.17E-13,hit
CCT8,P50990,T-complex protein 1 subunit theta,-1.856453448,24.15415271,PA_UV vs PA_NoUV,cytosole,4.33E-13,hit
PNO1,Q9NRX1,RNA-binding protein PNO1,-1.509945879,20.04332189,PA_UV vs PA_NoUV,cytosole,4.52E-13,hit
ZC3HAV1,Q7Z2W4,Zinc finger CCCH-type antiviral protein 1,-1.60983711,21.71960167,PA_UV vs PA_NoUV,cytosole,4.52E-13,hit
PRMT3,O60678,Protein arginine N-methyltransferase 3,-1.396271148,20.1121031,PA_UV vs PA_NoUV,cytosole,4.82E-13,hit
ACACA,Q13085,Acetyl-CoA carboxylase 1,-1.68492092,21.84375859,PA_UV vs PA_NoUV,cytosole,4.90E-13,hit
TWF1,Q12792,Twinfilin-1,-1.732730564,21.89795711,PA_UV vs PA_NoUV,cytosole,4.90E-13,hit
DRG2,P55039,Developmentally-regulated GTP-binding protein 2,-1.791873722,20.6238396,PA_UV vs PA_NoUV,cytosole,5.90E-13,hit
SERPINB6,P35237,Serpin B6,-1.774860454,24.46685959,PA_UV vs PA_NoUV,cytosole,5.90E-13,hit
FASN,P49327,Fatty acid synthase,-1.964555989,26.54324183,PA_UV vs PA_NoUV,cytosole,5.95E-13,hit
COTL1,Q14019,Coactosin-like protein,-1.990468197,23.00477705,PA_UV vs PA_NoUV,cytosole,6.24E-13,hit
FH,P07954,"Fumarate hydratase, mitochondrial",-1.814866401,22.50965073,PA_UV vs PA_NoUV,cytosole,6.27E-13,hit
RRM1,P23921,Ribonucleoside-diphosphate reductase large subunit,-1.810280019,23.61452531,PA_UV vs PA_NoUV,cytosole,6.47E-13,hit
ABCE1,P61221,ATP-binding cassette sub-family E member 1,-1.750432279,22.0937249,PA_UV vs PA_NoUV,cytosole,6.48E-13,hit
GSTO1,P78417,Glutathione S-transferase omega-1,-1.657344981,23.13540142,PA_UV vs PA_NoUV,cytosole,6.56E-13,hit
GFUS,Q13630,GDP-L-fucose synthase,-1.706325257,21.40716796,PA_UV vs PA_NoUV,cytosole,6.65E-13,hit
GET3,O43681,ATPase GET3,-1.465597669,22.1544968,PA_UV vs PA_NoUV,cytosole,7.17E-13,hit
GCN1,Q92616,eIF-2-alpha kinase activator GCN1,-1.639252246,23.36912117,PA_UV vs PA_NoUV,cytosole,7.50E-13,hit
HBS1L,Q9Y450,HBS1-like protein,-1.726128259,18.67602457,PA_UV vs PA_NoUV,cytosole,7.98E-13,hit
TARS1,P26639,"Threonine--tRNA ligase 1, cytoplasmic",-2.129897969,25.47058352,PA_UV vs PA_NoUV,cytosole,8.04E-13,hit
SULT1A3,P0DMM9,Sulfotransferase 1A3,-1.772855792,21.20485555,PA_UV vs PA_NoUV,cytosole,8.06E-13,hit
SNX5,Q9Y5X3,Sorting nexin-5,-2.430449066,17.58405086,PA_UV vs PA_NoUV,cytosole,8.10E-13,hit
ATG7,O95352,Ubiquitin-like modifier-activating enzyme ATG7,-1.527069474,19.86521981,PA_UV vs PA_NoUV,cytosole,8.19E-13,hit
GTF2B,Q00403,Transcription initiation factor IIB,-1.948957385,18.09569419,PA_UV vs PA_NoUV,cytosole,8.29E-13,hit
PGP,A6NDG6,Glycerol-3-phosphate phosphatase,-1.537928088,22.54889078,PA_UV vs PA_NoUV,cytosole,8.29E-13,hit
PSAT1,Q9Y617,Phosphoserine aminotransferase,-1.971961749,23.00814827,PA_UV vs PA_NoUV,cytosole,8.82E-13,hit
SMNDC1,O75940,Survival of motor neuron-related-splicing factor 30,-2.718873389,18.22933845,PA_UV vs PA_NoUV,cytosole,8.88E-13,hit
ATXN10,Q9UBB4,Ataxin-10,-1.628264318,23.12001485,PA_UV vs PA_NoUV,cytosole,8.88E-13,hit
STAT3,P40763,Signal transducer and activator of transcription 3,-1.628059051,22.83083064,PA_UV vs PA_NoUV,cytosole,9.08E-13,hit
NEK7,Q8TDX7,Serine/threonine-protein kinase Nek7,-1.904735843,19.68898891,PA_UV vs PA_NoUV,cytosole,9.30E-13,hit
PAICS,P22234,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,-2.02583944,23.56734586,PA_UV vs PA_NoUV,cytosole,9.46E-13,hit
POLD3,Q15054,DNA polymerase delta subunit 3,-1.582847942,19.74589891,PA_UV vs PA_NoUV,cytosole,9.51E-13,hit
RABGGTA,Q92696,Geranylgeranyl transferase type-2 subunit alpha,-1.445618241,19.83526913,PA_UV vs PA_NoUV,cytosole,9.52E-13,hit
ETF1,P62495,Eukaryotic peptide chain release factor subunit 1,-2.312594945,21.84732911,PA_UV vs PA_NoUV,cytosole,1.02E-12,hit
CARS1,P49589,"Cysteine--tRNA ligase, cytoplasmic",-1.562079925,21.14475646,PA_UV vs PA_NoUV,cytosole,1.14E-12,hit
HSPA1A,P0DMV8,Heat shock 70 kDa protein 1A,-1.502740385,26.16492285,PA_UV vs PA_NoUV,cytosole,1.15E-12,hit
ANXA1,P04083,Annexin A1,-2.18418808,24.10930676,PA_UV vs PA_NoUV,cytosole,1.17E-12,hit
CHORDC1,Q9UHD1,Cysteine and histidine-rich domain-containing protein 1,-2.252753985,22.9375413,PA_UV vs PA_NoUV,cytosole,1.18E-12,hit
SEC24A,O95486,Protein transport protein Sec24A,-1.582776368,18.57255808,PA_UV vs PA_NoUV,cytosole,1.21E-12,hit
ELP1,O95163,Elongator complex protein 1,-1.824544796,21.26685547,PA_UV vs PA_NoUV,cytosole,1.23E-12,hit
YARS1,P54577,"Tyrosine--tRNA ligase, cytoplasmic",-1.997468459,23.29377544,PA_UV vs PA_NoUV,cytosole,1.25E-12,hit
TTC4,O95801,Tetratricopeptide repeat protein 4,-1.922561876,20.45332017,PA_UV vs PA_NoUV,cytosole,1.26E-12,hit
CLUH,O75153,Clustered mitochondria protein homolog,-1.364364406,22.34760601,PA_UV vs PA_NoUV,cytosole,1.28E-12,hit
GFPT1,Q06210,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,-1.877280934,22.8779981,PA_UV vs PA_NoUV,cytosole,1.31E-12,hit
RAB3GAP2,Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit,-1.475698023,18.53742277,PA_UV vs PA_NoUV,cytosole,1.35E-12,hit
RNPEP,Q9H4A4,Aminopeptidase B,-1.706721181,24.17589488,PA_UV vs PA_NoUV,cytosole,1.43E-12,hit
PGM3,O95394,Phosphoacetylglucosamine mutase,-1.545601673,21.86047239,PA_UV vs PA_NoUV,cytosole,1.46E-12,hit
FBXO22,Q8NEZ5,F-box only protein 22,-1.439989583,20.81796968,PA_UV vs PA_NoUV,cytosole,1.52E-12,hit
PFKP,Q01813,"ATP-dependent 6-phosphofructokinase, platelet type",-1.900022579,23.5591846,PA_UV vs PA_NoUV,cytosole,1.55E-12,hit
DNAJB4,Q9UDY4,DnaJ homolog subfamily B member 4,-1.775233861,21.4009989,PA_UV vs PA_NoUV,cytosole,1.61E-12,hit
PDCD4,Q53EL6,Programmed cell death protein 4,-1.49415193,21.91427356,PA_UV vs PA_NoUV,cytosole,1.64E-12,hit
RAC1,P63000,Ras-related C3 botulinum toxin substrate 1,-1.399061614,21.842239,PA_UV vs PA_NoUV,cytosole,1.67E-12,hit
EIF3F,O00303,Eukaryotic translation initiation factor 3 subunit F,-1.468801628,21.96263256,PA_UV vs PA_NoUV,cytosole,1.67E-12,hit
TYMP,P19971,Thymidine phosphorylase,-1.448768359,21.68549608,PA_UV vs PA_NoUV,cytosole,1.68E-12,hit
RPL23,P62829,60S ribosomal protein L23,-1.958723269,23.38403777,PA_UV vs PA_NoUV,cytosole,1.68E-12,hit
GSPT1,P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,-2.051372007,24.23551964,PA_UV vs PA_NoUV,cytosole,1.70E-12,hit
EIF3J,O75822,Eukaryotic translation initiation factor 3 subunit J,-1.641811768,21.9145319,PA_UV vs PA_NoUV,cytosole,1.70E-12,hit
PPP2R5D,Q14738,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,-1.859269777,21.6773638,PA_UV vs PA_NoUV,cytosole,1.72E-12,hit
FARSB,Q9NSD9,Phenylalanine--tRNA ligase beta subunit,-1.55359174,22.63448408,PA_UV vs PA_NoUV,cytosole,1.73E-12,hit
TSG101,Q99816,Tumor susceptibility gene 101 protein,-1.312795511,19.34948397,PA_UV vs PA_NoUV,cytosole,1.73E-12,hit
PRPSAP1,Q14558,Phosphoribosyl pyrophosphate synthase-associated protein 1,-1.996324792,21.17174202,PA_UV vs PA_NoUV,cytosole,1.76E-12,hit
ACTR1A,P61163,Alpha-centractin,-1.696851123,20.22264111,PA_UV vs PA_NoUV,cytosole,1.79E-12,hit
MAPK3,P27361,Mitogen-activated protein kinase 3,-1.412365399,20.37251439,PA_UV vs PA_NoUV,cytosole,1.80E-12,hit
VCL,P18206,Vinculin,-1.936853319,24.97216725,PA_UV vs PA_NoUV,cytosole,1.83E-12,hit
OTUB1,Q96FW1,Ubiquitin thioesterase OTUB1,-1.554232836,21.50448724,PA_UV vs PA_NoUV,cytosole,1.87E-12,hit
PPP5C,P53041,Serine/threonine-protein phosphatase 5,-1.842079534,22.98068266,PA_UV vs PA_NoUV,cytosole,2.05E-12,hit
AARSD1,Q9BTE6,Alanyl-tRNA editing protein Aarsd1,-1.719648614,19.27822015,PA_UV vs PA_NoUV,cytosole,2.17E-12,hit
SRPK1,Q96SB4,SRSF protein kinase 1,-1.58017293,20.47728971,PA_UV vs PA_NoUV,cytosole,2.22E-12,hit
PRPS1,P60891,Ribose-phosphate pyrophosphokinase 1,-1.816643794,21.86024521,PA_UV vs PA_NoUV,cytosole,2.22E-12,hit
DPH5,Q9H2P9,Diphthine methyl ester synthase,-1.648633133,20.7361075,PA_UV vs PA_NoUV,cytosole,2.29E-12,hit
UNC45A,Q9H3U1,Protein unc-45 homolog A,-1.678817832,21.82059739,PA_UV vs PA_NoUV,cytosole,2.37E-12,hit
IPO9,Q96P70,Importin-9,-1.588917453,23.05752771,PA_UV vs PA_NoUV,cytosole,2.43E-12,hit
PREPL,Q4J6C6,Prolyl endopeptidase-like,-1.975616885,19.63839232,PA_UV vs PA_NoUV,cytosole,2.44E-12,hit
UGP2,Q16851,UTP--glucose-1-phosphate uridylyltransferase,-1.705413805,23.40296938,PA_UV vs PA_NoUV,cytosole,2.44E-12,hit
ANXA7,P20073,Annexin A7,-1.861793163,23.66936392,PA_UV vs PA_NoUV,cytosole,2.45E-12,hit
USP9X,Q93008,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,-1.485771071,21.61976787,PA_UV vs PA_NoUV,cytosole,2.57E-12,hit
ARHGDIA,P52565,Rho GDP-dissociation inhibitor 1,-1.89213673,23.13892766,PA_UV vs PA_NoUV,cytosole,2.59E-12,hit
ATP6V1C1,P21283,V-type proton ATPase subunit C 1,-1.905084095,21.09374485,PA_UV vs PA_NoUV,cytosole,2.61E-12,hit
THOP1,P52888,Thimet oligopeptidase,-1.68585372,23.63021512,PA_UV vs PA_NoUV,cytosole,2.72E-12,hit
FKBP4,Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4,-2.100269402,25.01728931,PA_UV vs PA_NoUV,cytosole,2.84E-12,hit
MAP4,P27816,Microtubule-associated protein 4,-2.475921654,23.73924427,PA_UV vs PA_NoUV,cytosole,2.93E-12,hit
MTRR,Q9UBK8,Methionine synthase reductase,-1.859893488,20.33059677,PA_UV vs PA_NoUV,cytosole,3.08E-12,hit
KIF5B,P33176,Kinesin-1 heavy chain,-1.83954247,23.28215941,PA_UV vs PA_NoUV,cytosole,3.23E-12,hit
EIF2A,Q9BY44,Eukaryotic translation initiation factor 2A,-1.689248112,22.75647199,PA_UV vs PA_NoUV,cytosole,3.31E-12,hit
ACTR3,P61158,Actin-related protein 3,-1.52941964,21.54835469,PA_UV vs PA_NoUV,cytosole,3.34E-12,hit
SBDS,Q9Y3A5,Ribosome maturation protein SBDS,-2.033975679,21.90003085,PA_UV vs PA_NoUV,cytosole,3.44E-12,hit
CCT6A,P40227,T-complex protein 1 subunit zeta,-1.842109243,23.53066537,PA_UV vs PA_NoUV,cytosole,3.47E-12,hit
NMD3,Q96D46,60S ribosomal export protein NMD3,-1.892153712,20.06952081,PA_UV vs PA_NoUV,cytosole,3.50E-12,hit
PSMD8,P48556,26S proteasome non-ATPase regulatory subunit 8,-1.310674677,23.10939838,PA_UV vs PA_NoUV,cytosole,3.50E-12,hit
MYPN,Q86TC9,Myopalladin,-1.414370967,19.30021506,PA_UV vs PA_NoUV,cytosole,3.52E-12,hit
MARS1,P56192,"Methionine--tRNA ligase, cytoplasmic",-1.448897305,23.45225798,PA_UV vs PA_NoUV,cytosole,3.55E-12,hit
C9orf64,Q5T6V5,Queuosine salvage protein,-1.739573816,20.16439706,PA_UV vs PA_NoUV,cytosole,3.82E-12,hit
PGK1,P00558,Phosphoglycerate kinase 1,-2.249845554,25.54977991,PA_UV vs PA_NoUV,cytosole,3.87E-12,hit
ABHD14B,Q96IU4,Putative protein-lysine deacylase ABHD14B,-1.46476263,19.80790417,PA_UV vs PA_NoUV,cytosole,4.06E-12,hit
TRIM16,O95361,Tripartite motif-containing protein 16,-1.670678833,19.52895213,PA_UV vs PA_NoUV,cytosole,4.29E-12,hit
TTC38,Q5R3I4,Tetratricopeptide repeat protein 38,-1.462224404,20.56978239,PA_UV vs PA_NoUV,cytosole,4.39E-12,hit
RIC8A,Q9NPQ8,Synembryn-A,-1.722866532,19.10957939,PA_UV vs PA_NoUV,cytosole,4.42E-12,hit
GNE,Q9Y223,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,-1.385939731,20.12632008,PA_UV vs PA_NoUV,cytosole,4.49E-12,hit
ATP6V1A,P38606,V-type proton ATPase catalytic subunit A,-1.955540146,22.94244814,PA_UV vs PA_NoUV,cytosole,4.52E-12,hit
EIF2S2,P20042,Eukaryotic translation initiation factor 2 subunit 2,-1.774716181,22.45915313,PA_UV vs PA_NoUV,cytosole,4.56E-12,hit
TUBB4B,P68371,Tubulin beta-4B chain,-1.814020069,22.55968857,PA_UV vs PA_NoUV,cytosole,4.90E-12,hit
RHOA,P61586,Transforming protein RhoA,-1.943367661,21.70269978,PA_UV vs PA_NoUV,cytosole,4.90E-12,hit
TUBA1C,Q9BQE3,Tubulin alpha-1C chain,-1.930331136,25.39429794,PA_UV vs PA_NoUV,cytosole,4.94E-12,hit
ABCF1,Q8NE71,ATP-binding cassette sub-family F member 1,-1.777709707,22.02420878,PA_UV vs PA_NoUV,cytosole,5.18E-12,hit
RAB3GAP1,Q15042,Rab3 GTPase-activating protein catalytic subunit,-1.663172401,18.50324946,PA_UV vs PA_NoUV,cytosole,5.22E-12,hit
UROD,P06132,Uroporphyrinogen decarboxylase,-1.501396584,20.98028725,PA_UV vs PA_NoUV,cytosole,5.34E-12,hit
CDK1,P06493,Cyclin-dependent kinase 1,-1.465678099,22.31394392,PA_UV vs PA_NoUV,cytosole,5.48E-12,hit
GPD1L,Q8N335,Glycerol-3-phosphate dehydrogenase 1-like protein,-1.531117432,21.29644026,PA_UV vs PA_NoUV,cytosole,5.55E-12,hit
ACTR2,P61160,Actin-related protein 2,-1.687491192,20.59879864,PA_UV vs PA_NoUV,cytosole,5.61E-12,hit
SEC23IP,Q9Y6Y8,SEC23-interacting protein,-1.257228037,19.76204987,PA_UV vs PA_NoUV,cytosole,5.63E-12,hit
MPST,P25325,3-mercaptopyruvate sulfurtransferase,-1.427071709,21.39368557,PA_UV vs PA_NoUV,cytosole,5.80E-12,hit
VPS26A,O75436,Vacuolar protein sorting-associated protein 26A,-1.503269712,20.96357355,PA_UV vs PA_NoUV,cytosole,5.91E-12,hit
RNH1,P13489,Ribonuclease inhibitor,-1.755473007,23.01134017,PA_UV vs PA_NoUV,cytosole,5.92E-12,hit
QDPR,P09417,Dihydropteridine reductase,-1.562319019,19.55092915,PA_UV vs PA_NoUV,cytosole,6.09E-12,hit
ELAC2,Q9BQ52,Zinc phosphodiesterase ELAC protein 2,-1.720435544,21.62361275,PA_UV vs PA_NoUV,cytosole,6.13E-12,hit
GCLM,P48507,Glutamate--cysteine ligase regulatory subunit,-1.527952931,20.62750187,PA_UV vs PA_NoUV,cytosole,6.16E-12,hit
APEX1,P27695,DNA-(apurinic or apyrimidinic site) endonuclease,-1.914477375,22.26989468,PA_UV vs PA_NoUV,cytosole,6.36E-12,hit
MRI1,Q9BV20,Methylthioribose-1-phosphate isomerase,-1.663257162,21.46131462,PA_UV vs PA_NoUV,cytosole,6.42E-12,hit
NAA15,Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",-1.622501935,22.14091007,PA_UV vs PA_NoUV,cytosole,6.46E-12,hit
PHAX,Q9H814,Phosphorylated adapter RNA export protein,-2.403926496,18.89247354,PA_UV vs PA_NoUV,cytosole,6.48E-12,hit
PTPN11,Q06124,Tyrosine-protein phosphatase non-receptor type 11,-1.512011634,19.48965885,PA_UV vs PA_NoUV,cytosole,6.52E-12,hit
VPS4B,O75351,Vacuolar protein sorting-associated protein 4B,-1.651404868,20.07173613,PA_UV vs PA_NoUV,cytosole,6.57E-12,hit
ADSS2,P30520,Adenylosuccinate synthetase isozyme 2,-1.540123603,23.24281781,PA_UV vs PA_NoUV,cytosole,6.63E-12,hit
BPNT1,O95861,"3'(2'),5'-bisphosphate nucleotidase 1",-1.680504318,21.62776971,PA_UV vs PA_NoUV,cytosole,6.66E-12,hit
EGLN1,Q9GZT9,Egl nine homolog 1,-1.269993331,18.35991105,PA_UV vs PA_NoUV,cytosole,6.66E-12,hit
ARCN1,P48444,Coatomer subunit delta,-1.525331225,21.70295019,PA_UV vs PA_NoUV,cytosole,6.67E-12,hit
G6PD,P11413,Glucose-6-phosphate 1-dehydrogenase,-1.81082514,23.81982612,PA_UV vs PA_NoUV,cytosole,6.84E-12,hit
IMPA2,O14732,Inositol monophosphatase 2,-1.49029327,19.78171006,PA_UV vs PA_NoUV,cytosole,6.97E-12,hit
EIF4A3,P38919,Eukaryotic initiation factor 4A-III,-1.767641208,22.98522546,PA_UV vs PA_NoUV,cytosole,7.22E-12,hit
