"","LipidProbe","gene_name","hit_annotation","logFC","pvalue","fdr"
"3391","Sph","YWHAB","no hit",-0.629757765,0.032748168,"0.108661351"
"3392","Sph","RNH1","no hit",-0.719824633,0.033036138,"0.108661351"
"3393","Sph","USP5","no hit",-0.493659754,0.033069218,"0.108661351"
"3394","Sph","NAGLU","no hit",0.353237759,0.033076642,"0.108661351"
"3395","Sph","UBE2N","no hit",-0.42974367,0.033153561,"0.108661351"
"3396","Sph","ARCN1","no hit",-0.281222615,0.033204753,"0.108661351"
"3397","Sph","HSPH1","no hit",-0.426176531,0.033357641,"0.108846177"
"3398","Sph","STAT1","no hit",-0.516554323,0.033556534,"0.109179616"
"3399","Sph","ACADM","no hit",0.260755292,0.034040184,"0.110306611"
"3400","Sph","DPYSL3","no hit",-0.330954628,0.034284917,"0.110306611"
"3401","Sph","SIAE","no hit",0.498757931,0.034384305,"0.110306611"
"3402","Sph","CS","no hit",0.31339122,0.034435665,"0.110306611"
"3403","Sph","EIF4G1","no hit",-0.394597989,0.034514536,"0.110306611"
"3404","Sph","HADHA","no hit",0.273200719,0.034520912,"0.110306611"
"3405","Sph","HNRNPA2B1","no hit",0.385741693,0.034586838,"0.110306611"
"3406","Sph","FKBP9","no hit",0.285877983,0.034723739,"0.110331393"
"3407","Sph","ADH5","no hit",-0.584135612,0.034790058,"0.110331393"
"3408","Sph","MAP2K2","no hit",-0.60426456,0.035015896,"0.110626449"
"3409","Sph","CAPN1","no hit",-0.385248138,0.035079069,"0.110626449"
"3410","Sph","VDAC2","no hit",0.496215994,0.035292565,"0.110989711"
"3411","Sph","NDUFS3","no hit",0.402074733,0.035594723,"0.111629007"
"3412","Sph","CPSF1","no hit",0.315890249,0.035968001,"0.112487183"
"3413","Sph","NT5C2","no hit",-0.620899424,0.036255005,"0.11307155"
"3414","Sph","SRM","no hit",-0.909837288,0.036777474,"0.114385035"
"3415","Sph","CBX1","no hit",0.395517803,0.037158956,"0.11463661"
"3416","Sph","RPL27A","no hit",-0.328887685,0.037286651,"0.11463661"
"3417","Sph","FAM129B","no hit",-0.440101702,0.037475391,"0.11463661"
"3418","Sph","NUDCD1","no hit",-0.34469497,0.037595664,"0.11463661"
"3419","Sph","SSB","no hit",-0.540485307,0.037622715,"0.11463661"
"3420","Sph","NXN","no hit",-0.472038405,0.037629165,"0.11463661"
"3421","Sph","EIF4A2","no hit",-0.489043416,0.037666019,"0.11463661"
"3422","Sph","MIA3","no hit",0.303138205,0.037670666,"0.11463661"
"3423","Sph","DNAJA2","no hit",-0.335266017,0.03788366,"0.11497487"
"3424","Sph","DDX39B","no hit",0.49650515,0.038452044,"0.116040495"
"3425","Sph","IMPDH2","no hit",-0.517732891,0.038464229,"0.116040495"
"3426","Sph","CUL5","no hit",-0.369437616,0.038606572,"0.116040495"
"3427","Sph","CAP1","no hit",-0.392543783,0.038645905,"0.116040495"
"3428","Sph","NPM1","no hit",0.424043804,0.03886578,"0.116374274"
"3429","Sph","YWHAZ","no hit",-0.697531241,0.03896322,"0.116374274"
"3430","Sph","LAMC1","no hit",0.264233325,0.039327121,"0.11691306"
"3431","Sph","PPP1R7","no hit",-0.719313041,0.03935072,"0.11691306"
"3432","Sph","KHSRP","no hit",0.247169789,0.039706536,"0.117611923"
"3433","Sph","RAB14","no hit",0.354871149,0.039794291,"0.117611923"
"3434","Sph","PPP4R3A","no hit",-0.280083259,0.040084774,"0.117731082"
"3435","Sph","OLA1","no hit",-0.268481478,0.040091357,"0.117731082"
"3436","Sph","ECH1","no hit",0.446007716,0.040223028,"0.117731082"
"3437","Sph","TKT","no hit",-0.784433977,0.040251725,"0.117731082"
"3438","Sph","TBRG4","no hit",0.480027426,0.040515797,"0.118197248"
"3439","Sph","RBM25","no hit",0.500195273,0.041101914,"0.119269611"
"3440","Sph","HNRNPA3","no hit",0.257853072,0.041108205,"0.119269611"
"3441","Sph","PSMA6","no hit",-0.478072884,0.041200309,"0.119269611"
"3442","Sph","ITGB1","no hit",0.419248699,0.041551986,"0.119980031"
"3443","Sph","PSMC1","no hit",-0.271813278,0.042064571,"0.121150257"
"3444","Sph","TSFM","no hit",0.293361791,0.042494498,"0.12207707"
"3445","Sph","GFAP","no hit",0.340513965,0.042744108,"0.122482482"
"3446","Sph","TCEB2","no hit",-0.401356186,0.042859793,"0.122503055"
"3447","Sph","DPP7","no hit",0.375411146,0.042972878,"0.122516109"
"3448","Sph","LEO1","no hit",0.282633125,0.043473147,"0.122808129"
"3449","Sph","NOL11","no hit",0.285046395,0.043564062,"0.122808129"
"3450","Sph","SNRPA1","no hit",0.221143301,0.043757296,"0.122808129"
"3451","Sph","MDH1","no hit",-0.503695694,0.043778371,"0.122808129"
"3452","Sph","DNAJC3","no hit",0.340664961,0.043877187,"0.122808129"
"3453","Sph","DBN1","no hit",0.332527643,0.044071626,"0.122808129"
"3454","Sph","PNPT1","no hit",0.35940979,0.044077886,"0.122808129"
"3455","Sph","PUF60","no hit",0.228004861,0.044133369,"0.122808129"
"3456","Sph","BASP1","no hit",0.413384915,0.044334053,"0.122808129"
"3457","Sph","COPE","no hit",-0.293668633,0.044339602,"0.122808129"
"3458","Sph","CAT","no hit",0.553591381,0.044423279,"0.122808129"
"3459","Sph","OTUB1","no hit",-0.452196433,0.044587247,"0.122808129"
"3460","Sph","PSPC1","no hit",0.218548945,0.044591158,"0.122808129"
"3461","Sph","LRP1","no hit",0.372992376,0.044598169,"0.122808129"
"3462","Sph","RPLP1","no hit",-0.351937322,0.044882501,"0.123290375"
"3463","Sph","YWHAE","no hit",-0.626024011,0.045004361,"0.123325058"
"3464","Sph","NUTF2","no hit",-0.423750314,0.045251914,"0.123467628"
"3465","Sph","HNRNPAB","no hit",0.374341805,0.045275109,"0.123467628"
"3466","Sph","ACAT1","no hit",0.28028629,0.045638425,"0.123925882"
"3467","Sph","FARSB","no hit",-0.477722778,0.045662681,"0.123925882"
"3468","Sph","COPB1","no hit",-0.30852575,0.045906541,"0.124288933"
"3469","Sph","DYNC1H1","no hit",-0.26140612,0.046135143,"0.124609034"
"3470","Sph","MYH9","no hit",-0.432696445,0.046356304,"0.124855617"
"3471","Sph","RNPEP","no hit",-0.319836863,0.046447617,"0.124855617"
"3472","Sph","WAPL|WAPAL","no hit",0.388670855,0.046952952,"0.12591421"
"3473","Sph","CPSF2","no hit",0.330516734,0.047126288,"0.126079572"
"3474","Sph","PCCB","no hit",0.277340142,0.047369313,"0.126430152"
"3475","Sph","GFPT1","no hit",-0.40167902,0.048091099,"0.128053894"
"3476","Sph","PGD","no hit",-0.510257071,0.048229099,"0.128119184"
"3477","Sph","OPA1","no hit",0.347479562,0.048854133,"0.12947492"
"3478","Sph","APEH","no hit",-0.707932929,0.049501653,"0.130883762"
"3479","Sph","MTHFD1L","no hit",0.365776277,0.049733589,"0.131189772"
"3480","Sph","SF3B4","no hit",0.341684719,0.050305691,"0.132389569"
"3481","Sph","HK2","no hit",0.265546259,0.050429959,"0.132398447"
"3482","Sph","ACO2","no hit",0.32188879,0.050543606,"0.132398447"
"3483","Sph","SRSF1","no hit",0.317341518,0.050934601,"0.132972458"
"3484","Sph","DRG1","no hit",-0.271138469,0.050998294,"0.132972458"
"3485","Sph","PFN2","no hit",-0.433186841,0.051696785,"0.134166947"
"3486","Sph","RAD23B","no hit",-0.556957947,0.05181106,"0.134166947"
"3487","Sph","CARS","no hit",-0.534107266,0.051812922,"0.134166947"
"3488","Sph","PSMB2","no hit",-0.272693359,0.05206587,"0.134513427"
"3489","Sph","XPO1","no hit",-0.326269705,0.052350376,"0.134670179"
"3490","Sph","STK24","no hit",-0.379554742,0.052365109,"0.134670179"
"3491","Sph","RPL5","no hit",-0.377906599,0.053199368,"0.136261245"
"3492","Sph","HDGF","no hit",-0.460374434,0.053225163,"0.136261245"
"3493","Sph","ZFR","no hit",0.228358928,0.0533841,"0.136358934"
"3494","Sph","GRB2","no hit",-0.441432075,0.053579586,"0.136549329"
"3495","Sph","RPS12","no hit",-0.23778463,0.054154612,"0.137703958"
"3496","Sph","MAP4","no hit",-0.433863954,0.054316141,"0.137804322"
"3497","Sph","MELTF","no hit",0.518327987,0.054907439,"0.138692127"
"3498","Sph","PTGES3","no hit",-0.606820329,0.054911763,"0.138692127"
"3499","Sph","MRPL38","no hit",0.391206177,0.0552126,"0.138767016"
"3500","Sph","SF3B3","no hit",0.406076527,0.055397504,"0.138767016"
"3501","Sph","MUT","no hit",0.312032808,0.0553977,"0.138767016"
"3502","Sph","CTPS1","no hit",-0.47729193,0.055446896,"0.138767016"
"3503","Sph","F8W031","no hit",0.432639541,0.055555971,"0.138767016"
"3504","Sph","WDR1","no hit",-0.335545332,0.056270243,"0.140240848"
"3505","Sph","RPL30","no hit",-0.221921003,0.056506083,"0.140518432"
"3506","Sph","S100A6","no hit",-0.807132059,0.056779458,"0.14088793"
"3507","Sph","TAGLN2","no hit",-0.530394067,0.057036915,"0.141216397"
"3508","Sph","ST13|ST13P4","no hit",-0.42653383,0.05726312,"0.141352225"
"3509","Sph","TJP1","no hit",0.307456883,0.057394056,"0.141352225"
"3510","Sph","DPYSL2","no hit",-0.430475697,0.05747938,"0.141352225"
"3511","Sph","PEBP1","no hit",-0.605957756,0.057870032,"0.141352225"
"3512","Sph","ATP5B","no hit",0.295887257,0.057994926,"0.141352225"
"3513","Sph","PLS3","no hit",-0.287554056,0.057997811,"0.141352225"
"3514","Sph","IVD","no hit",0.303534549,0.058017177,"0.141352225"
"3515","Sph","PABPN1|BCL2L2","no hit",0.259778919,0.058093386,"0.141352225"
"3516","Sph","NASP","no hit",-0.422406073,0.058699133,"0.142388835"
"3517","Sph","BCCIP","no hit",-0.315049877,0.05887915,"0.142388835"
"3518","Sph","ERO1A","no hit",0.294711209,0.059152165,"0.142388835"
"3519","Sph","ALDH2","no hit",0.273622925,0.059269862,"0.142388835"
"3520","Sph","DCBLD2","no hit",0.457414032,0.05929826,"0.142388835"
"3521","Sph","CALU","no hit",0.570225078,0.059348649,"0.142388835"
"3522","Sph","GBE1","no hit",-0.336541289,0.059402251,"0.142388835"
"3523","Sph","SHMT2","no hit",0.279261793,0.06011895,"0.143801472"
"3524","Sph","GLRX3","no hit",-0.401628368,0.060660881,"0.144704539"
"3525","Sph","RPS3","no hit",-0.26971847,0.060752836,"0.144704539"
"3526","Sph","PSMA5","no hit",-0.315648734,0.060885661,"0.144715603"
"3527","Sph","DYNC1LI1","no hit",-0.325561623,0.061304811,"0.145216043"
"3528","Sph","CNBP","no hit",-0.328426714,0.061353457,"0.145216043"
"3529","Sph","NOP58","no hit",0.329068017,0.061514886,"0.145293528"
"3530","Sph","SPTAN1","no hit",0.25569624,0.062300514,"0.146591162"
"3531","Sph","POFUT2","no hit",0.419699524,0.062438279,"0.146591162"
"3532","Sph","CTSL","no hit",0.229652443,0.062453808,"0.146591162"
"3533","Sph","DLAT","no hit",0.235763304,0.062864611,"0.147249265"
"3534","Sph","LTA4H","no hit",-0.441643265,0.06387338,"0.14912936"
"3535","Sph","BAZ1B","no hit",0.399184331,0.063931453,"0.14912936"
"3536","Sph","EHMT1","no hit",0.394031881,0.064858842,"0.150470502"
"3537","Sph","EEF2","no hit",-0.600184528,0.064995448,"0.150470502"
"3538","Sph","RPA1","no hit",-0.311422727,0.065036173,"0.150470502"
"3539","Sph","EFL1","no hit",-0.410304005,0.065105363,"0.150470502"
"3540","Sph","GNL2","no hit",0.350972877,0.065172786,"0.150470502"
"3541","Sph","RACK1","no hit",-0.307752159,0.065531171,"0.150989167"
"3542","Sph","RPL3","no hit",-0.300150841,0.06587867,"0.151278298"
"3543","Sph","USP9X","no hit",-0.197390802,0.065924644,"0.151278298"
"3544","Sph","TBC1D15","no hit",-0.249807112,0.066263207,"0.151746775"
"3545","Sph","CD2BP2","no hit",0.267352831,0.067338224,"0.153896468"
"3546","Sph","LDHB","no hit",-0.468693771,0.067851907,"0.154757179"
"3547","Sph","ENO3","no hit",-0.48900061,0.068313337,"0.155306559"
"3548","Sph","CNP","no hit",0.345713744,0.068367901,"0.155306559"
"3549","Sph","MANBA","no hit",0.340976059,0.069634218,"0.157865527"
"3550","Sph","RPS8","no hit",-0.278577318,0.070111966,"0.158349667"
"3551","Sph","LARS2","no hit",0.203125517,0.070128285,"0.158349667"
"3552","Sph","HIP1","no hit",0.236146593,0.070490969,"0.158850906"
"3553","Sph","PARN","no hit",0.31567811,0.070805997,"0.159242969"
"3554","Sph","DNAJB11","no hit",0.32875565,0.071911819,"0.161244731"
"3555","Sph","ETFA","no hit",-0.257623184,0.071981705,"0.161244731"
"3556","Sph","RPS11","no hit",-0.184882452,0.072416661,"0.161897842"
"3557","Sph","HSDL2","no hit",0.302329229,0.072635019,"0.162065091"
"3558","Sph","TP53BP1","no hit",0.26704864,0.072897679,"0.162330334"
"3559","Sph","IDH2","no hit",0.286652092,0.073197116,"0.162452544"
"3560","Sph","LSM7","no hit",-0.253224732,0.073240341,"0.162452544"
"3561","Sph","ACOX1","no hit",0.368934218,0.073989957,"0.163793454"
"3562","Sph","PCYT2","no hit",-0.415968722,0.074322412,"0.164207443"
"3563","Sph","GFM2","no hit",0.318219512,0.074568073,"0.164428426"
"3564","Sph","FXN","no hit",0.295951572,0.075000789,"0.165060217"
"3565","Sph","PPP1R9B","no hit",0.257349339,0.075308367,"0.165218197"
"3566","Sph","FNTA","no hit",-0.303344239,0.075365254,"0.165218197"
"3567","Sph","AHNAK","no hit",0.262659579,0.076045016,"0.166120467"
"3568","Sph","ACADSB","no hit",0.267003184,0.07614366,"0.166120467"
"3569","Sph","RPSA","no hit",-0.259712296,0.076218248,"0.166120467"
"3570","Sph","PYGB","no hit",-0.292569685,0.076524856,"0.166467366"
"3571","Sph","PPP1R9A","no hit",0.292422065,0.076832906,"0.166816059"
"3572","Sph","IARS","no hit",-0.200729786,0.077098754,"0.167071963"
"3573","Sph","NUP58","no hit",0.346426602,0.077609142,"0.167855789"
"3574","Sph","PECR","no hit",0.299901425,0.077864507,"0.168086096"
"3575","Sph","RPS3A","no hit",-0.272180225,0.078364535,"0.168842672"
"3576","Sph","FLNA","no hit",-0.226985324,0.078983237,"0.169669011"
"3577","Sph","RCN2","no hit",0.448238324,0.079048627,"0.169669011"
"3578","Sph","EFHD2","no hit",-0.364328576,0.079243069,"0.169763614"
"3579","Sph","CDC5L","no hit",0.344118184,0.079573711,"0.170020426"
"3580","Sph","STRBP","no hit",0.271582283,0.079705028,"0.170020426"
"3581","Sph","HNRNPD","no hit",0.250729355,0.079814726,"0.170020426"
"3582","Sph","MTPAP","no hit",0.355304464,0.080039472,"0.170178086"
"3583","Sph","NOL6","no hit",0.267907259,0.080681287,"0.171198589"
"3584","Sph","GNA11|GNAQ","no hit",0.307469184,0.080822717,"0.171198589"
"3585","Sph","SART3","no hit",-0.202239663,0.081262569,"0.171807942"
"3586","Sph","XPO4","no hit",-0.19863539,0.081935167,"0.172714409"
"3587","Sph","NUP85","no hit",0.326765205,0.082029928,"0.172714409"
"3588","Sph","POLR2H","no hit",0.237384135,0.082150255,"0.172714409"
"3589","Sph","TALDO1","no hit",-0.644831542,0.082387607,"0.172891465"
"3590","Sph","PDHB","no hit",0.326261936,0.082639666,"0.17309867"
"3591","Sph","RBM8A","no hit",0.293198551,0.082951603,"0.173430296"
"3592","Sph","POR","no hit",0.237601523,0.083263582,"0.173760785"
"3593","Sph","BLMH","no hit",-0.360581234,0.084076535,"0.174940558"
"3594","Sph","PRDX4","no hit",0.379901675,0.084173034,"0.174940558"
"3595","Sph","PLD3","no hit",0.204055692,0.084293767,"0.174940558"
"3596","Sph","CENPF","no hit",0.293390158,0.086265761,"0.178704667"
"3597","Sph","FH","no hit",0.282805507,0.08731704,"0.180551168"
"3598","Sph","COPS6","no hit",-0.254033508,0.087646326,"0.180900735"
"3599","Sph","CBR1","no hit",-0.545195485,0.087902848,"0.181099115"
"3600","Sph","NAGA","no hit",0.177528276,0.088266033,"0.181237318"
"3601","Sph","NAP1L1","no hit",-0.309213654,0.088290988,"0.181237318"
"3602","Sph","TOMM70","no hit",0.237492178,0.088981992,"0.182289292"
"3603","Sph","RAP1GDS1","no hit",-0.398559722,0.089153207,"0.182289292"
"3604","Sph","ESF1","no hit",0.266238046,0.089320348,"0.182289292"
"3605","Sph","RAB2A|DKFZp313C1541|RAB2B","no hit",0.255403812,0.089608732,"0.182289292"
"3606","Sph","AKR1B1","no hit",-0.730044588,0.089610768,"0.182289292"
"3607","Sph","GRPEL1","no hit",0.263593991,0.090711013,"0.183704964"
"3608","Sph","ATP5C1","no hit",0.30812974,0.090839915,"0.183704964"
"3609","Sph","OGDH","no hit",0.215686112,0.091054251,"0.183704964"
"3610","Sph","PPM1G","no hit",-0.505914115,0.091111837,"0.183704964"
"3611","Sph","GPI","no hit",-0.503450751,0.091120265,"0.183704964"
"3612","Sph","ESD","no hit",-0.562608502,0.091441459,"0.184023898"
"3613","Sph","WDR43","no hit",0.35555795,0.091619379,"0.184053878"
"3614","Sph","GTPBP4","no hit",0.281477012,0.091797154,"0.184083459"
"3615","Sph","YLPM1","no hit",0.23800496,0.093010091,"0.186185093"
"3616","Sph","GALK2","no hit",-0.534572948,0.093763269,"0.187212744"
"3617","Sph","RMDN3","no hit",0.307775453,0.093855105,"0.187212744"
"3618","Sph","U2SURP","no hit",0.326967149,0.095216793,"0.188838262"
"3619","Sph","BLVRA","no hit",-0.427062383,0.095234628,"0.188838262"
"3620","Sph","HIST1H1E|HIST1H1D|HIST1H1C","no hit",0.340408232,0.095356574,"0.188838262"
"3621","Sph","CNPY3","no hit",0.185953315,0.09545173,"0.188838262"
"3622","Sph","CDK5RAP3","no hit",0.323824751,0.095506331,"0.188838262"
"3623","Sph","CKAP4","no hit",0.259867656,0.095738875,"0.188967115"
"3624","Sph","DAP3","no hit",0.426821159,0.097020598,"0.191037463"
"3625","Sph","RMDN1","no hit",0.184952921,0.097126221,"0.191037463"
"3626","Sph","HNRNPH1","no hit",0.245851182,0.098406639,"0.193061616"
"3627","Sph","WDR3","no hit",0.288894412,0.098497335,"0.193061616"
"3628","Sph","GLS","no hit",0.462035262,0.098988671,"0.193652751"
"3629","Sph","GOLGA2","no hit",0.287449309,0.099141975,"0.193652751"
"3630","Sph","CPOX","no hit",0.229672591,0.09994197,"0.19457157"
"3631","Sph","PPP4C","no hit",-0.26431672,0.099957051,"0.19457157"
"3632","Sph","DECR1","no hit",0.25893211,0.100182596,"0.194674958"
"3633","Sph","ACTN4","no hit",0.187245885,0.100728939,"0.195400296"
"3634","Sph","NQO1","no hit",-0.684286872,0.101066516,"0.195632118"
"3635","Sph","CHERP","no hit",0.26306185,0.101227821,"0.195632118"
"3636","Sph","BCAT1","no hit",-0.631573671,0.101368281,"0.195632118"
"3637","Sph","CPQ","no hit",0.516920597,0.101878241,"0.196253713"
"3638","Sph","CRNKL1","no hit",0.222377276,0.102038024,"0.196253713"
"3639","Sph","SEH1L","no hit",0.183004184,0.103022256,"0.197809739"
"3640","Sph","NUP214","no hit",0.222851163,0.103578667,"0.198250425"
"3641","Sph","RANBP2","no hit",0.288814874,0.103765923,"0.198250425"
"3642","Sph","CANX","no hit",0.305981094,0.103778566,"0.198250425"
"3643","Sph","LSM6","no hit",-0.287562544,0.104051454,"0.198435965"
"3644","Sph","DDX5","no hit",0.363242109,0.104393207,"0.19875199"
"3645","Sph","HARS","no hit",-0.38944184,0.104768128,"0.199129995"
"3646","Sph","RBM39","no hit",0.244338362,0.106043572,"0.201122106"
"3647","Sph","ILF2","no hit",0.360999641,0.10617252,"0.201122106"
"3648","Sph","NUP54","no hit",0.225947926,0.106772522,"0.201636558"
"3649","Sph","CYP3A5","no hit",0.321306097,0.106801295,"0.201636558"
"3650","Sph","CRLF3","no hit",-0.238957468,0.107086462,"0.201837422"
"3651","Sph","ALDH1B1","no hit",0.284950373,0.107581444,"0.202432418"
"3652","Sph","SKIV2L2","no hit",0.257713311,0.108150014,"0.20316367"
"3653","Sph","TBCD","no hit",-0.468168935,0.108532144,"0.203542841"
"3654","Sph","HSPA1B|HSPA1A","no hit",-0.299300659,0.108752682,"0.203549274"
"3655","Sph","TPT1","no hit",-0.31493538,0.108896157,"0.203549274"
"3656","Sph","GNAS","no hit",0.647878924,0.109292642,"0.203952716"
"3657","Sph","WDR77","no hit",-0.266293222,0.109610676,"0.204208669"
"3658","Sph","H2AFY","no hit",0.2145608,0.110578594,"0.20567254"
"3659","Sph","TOP1","no hit",0.287814994,0.110958463,"0.206039645"
"3660","Sph","HNRNPU","no hit",0.346136356,0.111383995,"0.206490198"
"3661","Sph","POGZ","no hit",0.373225397,0.111933503,"0.207168729"
"3662","Sph","G6PD","no hit",-0.731932169,0.112238888,"0.207393952"
"3663","Sph","ATP1A1","no hit",0.452969256,0.112604136,"0.207728872"
"3664","Sph","GDI1","no hit",-0.492900173,0.112884926,"0.207907147"
"3665","Sph","EIF4E","no hit",-0.195370611,0.1135803,"0.208847165"
"3666","Sph","ANXA5","no hit",-1.073323874,0.114603648,"0.210386208"
"3667","Sph","SNRNP200","no hit",0.214187246,0.116647584,"0.213497096"
"3668","Sph","HSPB1","no hit",-0.495835787,0.116706458,"0.213497096"
"3669","Sph","APLP2","no hit",0.260941166,0.116865549,"0.213497096"
"3670","Sph","NDUFS1","no hit",0.17060612,0.117407012,"0.214139768"
"3671","Sph","RPL9","no hit",-0.336844186,0.117761866,"0.21444056"
"3672","Sph","RAB11A|RAB11B","no hit",0.215339364,0.118314288,"0.215085423"
"3673","Sph","HNRNPL","no hit",0.250398364,0.118497018,"0.215085423"
"3674","Sph","AP1B1","no hit",-0.233710793,0.118778227,"0.215249789"
"3675","Sph","PML","no hit",0.207441921,0.120027413,"0.217164983"
"3676","Sph","RCN1","no hit",0.424704317,0.120733723,"0.217969721"
"3677","Sph","HSPE1","no hit",0.29219912,0.120966127,"0.217969721"
"3678","Sph","PPP2R1A","no hit",-0.196140243,0.121051386,"0.217969721"
"3679","Sph","DLG1","no hit",0.192305881,0.121504916,"0.218437978"
"3680","Sph","ADSL","no hit",-0.366176824,0.122220176,"0.219374528"
"3681","Sph","NAT10","no hit",0.26283421,0.122724483,"0.219930066"
"3682","Sph","EIF6","no hit",-0.251390027,0.12538654,"0.223848387"
"3683","Sph","DDX23","no hit",0.240209245,0.125464006,"0.223848387"
"3684","Sph","RARS","no hit",-0.175502694,0.125505783,"0.223848387"
"3685","Sph","EIF5B","no hit",-0.215105088,0.126405923,"0.225098245"
"3686","Sph","KIAA1429","no hit",0.403571815,0.126787472,"0.225397875"
"3687","Sph","HNRNPF","no hit",0.18762669,0.126973471,"0.225397875"
"3688","Sph","FKBP8","no hit",0.237525192,0.127694876,"0.226020622"
"3689","Sph","RPS19","no hit",-0.246047067,0.127724674,"0.226020622"
"3690","Sph","LRRC15","no hit",0.339517547,0.128068632,"0.226274625"
"3691","Sph","PC","no hit",0.191633788,0.128272433,"0.226280588"
"3692","Sph","ATP6V1H","no hit",0.193740712,0.130101364,"0.229148892"
"3693","Sph","SMU1","no hit",0.244569962,0.130346162,"0.229222457"
"3694","Sph","THOC3","no hit",0.167413969,0.130707838,"0.229352194"
"3695","Sph","LAP3","no hit",0.19473106,0.13082623,"0.229352194"
"3696","Sph","ANXA4","no hit",-0.909932903,0.133377923,"0.233128139"
"3697","Sph","PMM2","no hit",-0.329817418,0.133393072,"0.233128139"
"3698","Sph","ARPC1B","no hit",-0.24756584,0.134719073,"0.23508166"
"3699","Sph","PSMB7","no hit",-0.334895242,0.135387278,"0.235883081"
"3700","Sph","IDH1","no hit",-0.447375195,0.135990923,"0.236569725"
"3701","Sph","TOP2B","no hit",0.229611218,0.136358799,"0.236844744"
"3702","Sph","EPRS","no hit",-0.266979716,0.136796102,"0.237055277"
"3703","Sph","H1F0","no hit",0.321689376,0.136989888,"0.237055277"
"3704","Sph","THOP1","no hit",-0.397779514,0.137109917,"0.237055277"
"3705","Sph","TST","no hit",0.148651939,0.137586794,"0.23751604"
"3706","Sph","LETM1","no hit",0.214737498,0.137822923,"0.237560428"
"3707","Sph","E7EVH7|KLC1","no hit",-0.218724351,0.139611629,"0.240276721"
"3708","Sph","WDR75","no hit",0.353364669,0.140183206,"0.240893211"
"3709","Sph","RAI14","no hit",0.262708881,0.141027583,"0.241975899"
"3710","Sph","FTO","no hit",-0.401393043,0.141970395,"0.243223939"
"3711","Sph","ECI1","no hit",0.326496227,0.143330586,"0.245182169"
"3712","Sph","PSMA3","no hit",-0.229965839,0.144160842,"0.246229336"
"3713","Sph","CSDE1","no hit",-0.177012635,0.146376865,"0.249595222"
"3714","Sph","INTS3","no hit",0.287630393,0.146573634,"0.249595222"
"3715","Sph","SRSF7","no hit",0.200492691,0.147638799,"0.251030428"
"3716","Sph","THOC1","no hit",0.289218532,0.14801301,"0.251288253"
"3717","Sph","CUL4A","no hit",-0.196167703,0.148666941,"0.252019484"
"3718","Sph","AKR1A1","no hit",-0.410286518,0.148908336,"0.252050243"
"3719","Sph","ACTR3","no hit",-0.157858078,0.150455175,"0.254287265"
"3720","Sph","LONP1","no hit",0.318660182,0.150894044,"0.254638814"
"3721","Sph","VPS35","no hit",-0.211631993,0.151114265,"0.254638814"
"3722","Sph","UPF1","no hit",-0.146201232,0.151924835,"0.255350602"
"3723","Sph","STRN3","no hit",-0.243580824,0.151989021,"0.255350602"
"3724","Sph","ALDH6A1","no hit",0.210154713,0.152567507,"0.255941628"
"3725","Sph","EXOSC5","no hit",0.28275976,0.153139845,"0.256225971"
"3726","Sph","MPHOSPH8","no hit",0.26539427,0.153190904,"0.256225971"
"3727","Sph","RBMX","no hit",0.194730969,0.153434992,"0.256254595"
"3728","Sph","MRE11A","no hit",0.230457403,0.153963877,"0.256758075"
"3729","Sph","RBM14","no hit",0.212746187,0.154570472,"0.257333014"
"3730","Sph","DDX1","no hit",-0.165810598,0.154764496,"0.257333014"
"3731","Sph","IGF2BP3","no hit",-0.236843498,0.155152684,"0.257599089"
"3732","Sph","PSAT1","no hit",-0.573487278,0.155528201,"0.257843375"
"3733","Sph","RTCB","no hit",-0.19606271,0.156233094,"0.258632204"
"3734","Sph","LIMA1","no hit",0.279063437,0.156999276,"0.259520033"
"3735","Sph","EZR","no hit",-0.185638928,0.157304675,"0.259644705"
"3736","Sph","NSF","no hit",-0.204594389,0.158055225,"0.2605027"
"3737","Sph","TRMT10C","no hit",0.347845863,0.158824189,"0.261388497"
"3738","Sph","ILF3","no hit",0.231790921,0.159674503,"0.262405406"
"3739","Sph","PSAP","no hit",0.958195472,0.160275154,"0.263009663"
"3740","Sph","HKDC1","no hit",0.421162377,0.161186584,"0.264121413"
"3741","Sph","AKR1B10","no hit",-0.706017175,0.163268024,"0.267144347"
"3742","Sph","DIEXF","no hit",0.187490227,0.16390376,"0.267796447"
"3743","Sph","PTBP1","no hit",0.189891192,0.164384127,"0.268193178"
"3744","Sph","AAMP","no hit",-0.457958869,0.166537396,"0.27131417"
"3745","Sph","GPS1","no hit",-0.187078238,0.16713214,"0.271350177"
"3746","Sph","C14orf166","no hit",-0.16677519,0.167242132,"0.271350177"
"3747","Sph","CKB","no hit",-0.460154081,0.167280535,"0.271350177"
"3748","Sph","DHX9","no hit",0.294947386,0.168014892,"0.271766113"
"3749","Sph","PSMD3","no hit",-0.220129557,0.168256016,"0.271766113"
"3750","Sph","GGH","no hit",0.3687907,0.168259091,"0.271766113"
"3751","Sph","TGM3","no hit",0.504525927,0.169156032,"0.272824514"
"3752","Sph","SDHB","no hit",0.374046999,0.170875404,"0.275204467"
"3753","Sph","FUCA1","no hit",0.208186871,0.171296279,"0.275489316"
"3754","Sph","NDUFV1","no hit",0.185943644,0.172593393,"0.27718057"
"3755","Sph","DDX3X","no hit",-0.174197202,0.173078988,"0.277416023"
