gene_name,sample,comparison,AveExpr,logFC,pvalue,fdr,hit_annotation
PMM2,Huh7,FA_8_3_UV - Sph_UV,23.79593779,0.189087641,0.372113996,0.670790111,no hit
PPA1,Huh7,FA_8_3_UV - Sph_UV,24.55353356,0.259318417,0.372236013,0.670790111,no hit
SEC23A,Huh7,FA_8_3_UV - Sph_UV,23.25959636,-0.131208988,0.372529141,0.670790111,no hit
POFUT2,Huh7,FA_8_3_UV - Sph_UV,24.99475582,0.185039113,0.379071354,0.681255019,no hit
OSBP,Huh7,FA_8_3_UV - Sph_UV,22.4916673,0.153708823,0.380143926,0.681255019,no hit
ZNF90|RPS16,Huh7,FA_8_3_UV - Sph_UV,24.35515028,0.130405833,0.380151162,0.681255019,no hit
RPL23,Huh7,FA_8_3_UV - Sph_UV,23.6324479,0.105940857,0.380838308,0.681404833,no hit
SHMT2,Huh7,FA_8_3_UV - Sph_UV,25.93654172,0.120833962,0.382827325,0.683462941,no hit
TNPO1,Huh7,FA_8_3_UV - Sph_UV,26.01409648,0.129564574,0.383199328,0.683462941,no hit
SNX1,Huh7,FA_8_3_UV - Sph_UV,23.29843327,-0.105245811,0.38663751,0.687279461,no hit
RPS2,Huh7,FA_8_3_UV - Sph_UV,24.2345277,-0.293283429,0.387416557,0.687279461,no hit
AKR1B10,Huh7,FA_8_3_UV - Sph_UV,25.32690115,0.424747785,0.387434335,0.687279461,no hit
PAOX,Huh7,FA_8_3_UV - Sph_UV,22.85580752,-0.126989363,0.387774151,0.687279461,no hit
NPLOC4,Huh7,FA_8_3_UV - Sph_UV,25.60024248,0.084851826,0.389019408,0.688405818,no hit
ITGB3,Huh7,FA_8_3_UV - Sph_UV,22.83446884,-0.20288641,0.39022676,0.688849831,enriched no hit
RELN,Huh7,FA_8_3_UV - Sph_UV,22.31242134,-0.325673106,0.390490604,0.688849831,no hit
ERP44,Huh7,FA_8_3_UV - Sph_UV,26.29033858,-0.189017217,0.392583704,0.69047356,no hit
ZYX,Huh7,FA_8_3_UV - Sph_UV,23.12912552,0.284792604,0.392634212,0.69047356,no hit
STAT1,Huh7,FA_8_3_UV - Sph_UV,22.62535162,-0.188061055,0.393953735,0.691681295,no hit
EIF4G2,Huh7,FA_8_3_UV - Sph_UV,25.35333827,-0.112992937,0.394546283,0.691681295,no hit
APP,Huh7,FA_8_3_UV - Sph_UV,24.34377031,0.119968145,0.397911487,0.69456955,no hit
AKR1B1,Huh7,FA_8_3_UV - Sph_UV,26.83222909,0.344141703,0.398024875,0.69456955,no hit
STK24,Huh7,FA_8_3_UV - Sph_UV,22.14756774,-0.152870421,0.398454141,0.69456955,no hit
ABCF1,Huh7,FA_8_3_UV - Sph_UV,23.17579821,-0.12909943,0.398654622,0.69456955,no hit
VPS35,Huh7,FA_8_3_UV - Sph_UV,25.39363187,-0.119901206,0.400113783,0.696037691,no hit
P4HA2,Huh7,FA_8_3_UV - Sph_UV,25.87650646,-0.102017734,0.40088683,0.696309587,no hit
NAPA,Huh7,FA_8_3_UV - Sph_UV,22.22075862,-0.1195552,0.402530079,0.698089799,no hit
EEF1G,Huh7,FA_8_3_UV - Sph_UV,26.57074363,0.165341152,0.40398266,0.699534391,no hit
DCBLD2,Huh7,FA_8_3_UV - Sph_UV,23.20173525,-0.186569616,0.408024941,0.704463146,no hit
MAT2A,Huh7,FA_8_3_UV - Sph_UV,24.48100245,0.228235192,0.408322777,0.704463146,no hit
CPSF7,Huh7,FA_8_3_UV - Sph_UV,22.62664585,0.140071318,0.408700939,0.704463146,no hit
S100A10,Huh7,FA_8_3_UV - Sph_UV,22.84069786,-0.127087978,0.409468995,0.704711121,no hit
AARS2,Huh7,FA_8_3_UV - Sph_UV,23.86078551,0.131422184,0.411012211,0.705576815,no hit
CTSA,Huh7,FA_8_3_UV - Sph_UV,24.61293272,-0.107924136,0.411221917,0.705576815,enriched no hit
GOLIM4,Huh7,FA_8_3_UV - Sph_UV,23.6025322,-0.161037097,0.412442967,0.705882737,enriched no hit
IMPDH2,Huh7,FA_8_3_UV - Sph_UV,25.03159468,0.186581126,0.41337415,0.705882737,no hit
PSAT1,Huh7,FA_8_3_UV - Sph_UV,25.28540328,0.319044128,0.413756306,0.705882737,no hit
ATP6V0D1,Huh7,FA_8_3_UV - Sph_UV,24.76842963,0.129754554,0.413901127,0.705882737,no hit
PPP2CB,Huh7,FA_8_3_UV - Sph_UV,24.14355689,-0.085064408,0.415508234,0.707554745,no hit
INTS1,Huh7,FA_8_3_UV - Sph_UV,21.94200578,-0.293596787,0.417109783,0.709212267,no hit
ANXA1,Huh7,FA_8_3_UV - Sph_UV,25.09406498,0.187956149,0.418055131,0.709750741,no hit
RPL17|RPL17-C18orf32,Huh7,FA_8_3_UV - Sph_UV,24.45026289,0.127688081,0.419300564,0.710796302,no hit
WDR82,Huh7,FA_8_3_UV - Sph_UV,23.01238194,-0.122698796,0.421885627,0.714106257,no hit
TXNL1,Huh7,FA_8_3_UV - Sph_UV,23.70176853,0.144286855,0.423336988,0.715490208,no hit
ADSL,Huh7,FA_8_3_UV - Sph_UV,22.64031297,0.180032893,0.427092854,0.720759091,no hit
TCP1,Huh7,FA_8_3_UV - Sph_UV,26.21017455,0.099661393,0.428320329,0.721751719,no hit
RRAS2,Huh7,FA_8_3_UV - Sph_UV,24.33893343,-0.155043169,0.429052827,0.721908557,no hit
EPS15L1,Huh7,FA_8_3_UV - Sph_UV,22.97969106,-0.14518053,0.432704901,0.724223277,no hit
PSMD8,Huh7,FA_8_3_UV - Sph_UV,22.78571518,0.102842861,0.433333338,0.724223277,no hit
ABR,Huh7,FA_8_3_UV - Sph_UV,25.3666155,0.10219779,0.433820435,0.724223277,no hit
TRNT1,Huh7,FA_8_3_UV - Sph_UV,22.05371964,0.105981126,0.433934215,0.724223277,no hit
FSCN1,Huh7,FA_8_3_UV - Sph_UV,24.22793136,0.310563179,0.434673079,0.724223277,no hit
GDI2,Huh7,FA_8_3_UV - Sph_UV,25.0290515,0.15285402,0.435454372,0.724223277,no hit
EIF3A,Huh7,FA_8_3_UV - Sph_UV,23.11229681,-0.148937663,0.435471055,0.724223277,no hit
DIEXF,Huh7,FA_8_3_UV - Sph_UV,23.13762925,-0.101577353,0.435560324,0.724223277,no hit
PSMA3,Huh7,FA_8_3_UV - Sph_UV,25.21182799,0.117526349,0.437985515,0.726894665,no hit
ALDH1A1,Huh7,FA_8_3_UV - Sph_UV,26.96255838,0.18626471,0.438454621,0.726894665,no hit
CPSF2,Huh7,FA_8_3_UV - Sph_UV,23.77227602,0.118024246,0.440239182,0.728783045,no hit
ESF1,Huh7,FA_8_3_UV - Sph_UV,23.23148218,-0.113635314,0.442260687,0.731057562,no hit
RPL18A,Huh7,FA_8_3_UV - Sph_UV,23.35813484,0.132240251,0.443265406,0.73164714,no hit
CANX,Huh7,FA_8_3_UV - Sph_UV,25.72225646,-0.136714506,0.443943899,0.731697317,no hit
TGM2,Huh7,FA_8_3_UV - Sph_UV,26.19292246,0.408384868,0.444744279,0.731947947,no hit
ME2,Huh7,FA_8_3_UV - Sph_UV,24.41599884,0.098622077,0.445791194,0.732602995,no hit
CPSF1,Huh7,FA_8_3_UV - Sph_UV,25.11733966,0.103574968,0.448392875,0.735807494,no hit
CPQ,Huh7,FA_8_3_UV - Sph_UV,24.09471633,-0.224950616,0.452814893,0.741123348,no hit
STRAP,Huh7,FA_8_3_UV - Sph_UV,25.26821353,-0.11283325,0.453483351,0.741123348,no hit
DDX18,Huh7,FA_8_3_UV - Sph_UV,24.20431507,0.114186342,0.453601624,0.741123348,no hit
NAT10,Huh7,FA_8_3_UV - Sph_UV,25.93784474,0.121529239,0.455003624,0.742339728,no hit
GEMIN5,Huh7,FA_8_3_UV - Sph_UV,23.10240404,-0.127280927,0.456420284,0.743576481,no hit
UGGT1,Huh7,FA_8_3_UV - Sph_UV,26.54072499,-0.087162657,0.457391528,0.744085065,no hit
SEC16A,Huh7,FA_8_3_UV - Sph_UV,22.99702749,0.15655581,0.458911248,0.744597427,no hit
YWHAB,Huh7,FA_8_3_UV - Sph_UV,24.79095125,0.196951778,0.459448802,0.744597427,no hit
THOC3,Huh7,FA_8_3_UV - Sph_UV,24.13058982,0.07840011,0.459734608,0.744597427,no hit
PRKACB|PRKACA,Huh7,FA_8_3_UV - Sph_UV,23.31717238,-0.098196385,0.460491398,0.744597427,no hit
PFN2,Huh7,FA_8_3_UV - Sph_UV,23.33224068,0.151168859,0.461004076,0.744597427,no hit
PSMB2,Huh7,FA_8_3_UV - Sph_UV,24.16594005,-0.094855691,0.463229606,0.747123179,no hit
PES1,Huh7,FA_8_3_UV - Sph_UV,25.06740236,-0.128455272,0.464804407,0.747459125,no hit
CARS,Huh7,FA_8_3_UV - Sph_UV,24.49095266,0.183896793,0.467117247,0.747459125,no hit
UGDH,Huh7,FA_8_3_UV - Sph_UV,25.07795093,0.152484623,0.46773581,0.747459125,no hit
U2AF1L5|U2AF1,Huh7,FA_8_3_UV - Sph_UV,23.84539991,0.209236921,0.468123745,0.747459125,no hit
CWC22,Huh7,FA_8_3_UV - Sph_UV,23.45348566,0.126031457,0.468908547,0.747459125,no hit
PREPL,Huh7,FA_8_3_UV - Sph_UV,23.88554547,0.154933879,0.469161657,0.747459125,no hit
HNRNPR,Huh7,FA_8_3_UV - Sph_UV,25.39766612,-0.184506152,0.469478009,0.747459125,no hit
P4HA1,Huh7,FA_8_3_UV - Sph_UV,26.22614403,-0.095873597,0.470400093,0.747459125,no hit
HKDC1,Huh7,FA_8_3_UV - Sph_UV,26.27013313,-0.209110315,0.470770784,0.747459125,no hit
ACOT9,Huh7,FA_8_3_UV - Sph_UV,22.86659664,-0.100419476,0.472514327,0.747459125,no hit
LSM8,Huh7,FA_8_3_UV - Sph_UV,22.3666213,0.101576566,0.472599134,0.747459125,no hit
RSL1D1,Huh7,FA_8_3_UV - Sph_UV,24.13297784,-0.091763679,0.47301364,0.747459125,no hit
TST,Huh7,FA_8_3_UV - Sph_UV,24.92703256,0.068848051,0.473090802,0.747459125,no hit
KTN1,Huh7,FA_8_3_UV - Sph_UV,27.37087049,0.125893377,0.47530009,0.747459125,enriched no hit
SF3A1,Huh7,FA_8_3_UV - Sph_UV,24.17329489,0.075369528,0.475301864,0.747459125,no hit
DNAJB11,Huh7,FA_8_3_UV - Sph_UV,24.41304679,0.121659832,0.475511172,0.747459125,no hit
HDGF,Huh7,FA_8_3_UV - Sph_UV,24.150854,0.156462097,0.47582814,0.747459125,no hit
HSPA1B|HSPA1A,Huh7,FA_8_3_UV - Sph_UV,25.09014184,0.12628141,0.476015282,0.747459125,no hit
NUDT5,Huh7,FA_8_3_UV - Sph_UV,24.50728167,0.168953924,0.476016927,0.747459125,no hit
LSM2,Huh7,FA_8_3_UV - Sph_UV,23.72077819,-0.100973546,0.48043864,0.750679159,no hit
RPS3A,Huh7,FA_8_3_UV - Sph_UV,24.88124908,0.102147706,0.480544926,0.750679159,no hit
CNDP2,Huh7,FA_8_3_UV - Sph_UV,22.51177945,-0.201936168,0.480868158,0.750679159,no hit
RPS25,Huh7,FA_8_3_UV - Sph_UV,22.48917262,0.132515247,0.48153249,0.750679159,no hit
POLR2B,Huh7,FA_8_3_UV - Sph_UV,24.20129997,0.150866252,0.481789377,0.750679159,no hit
TPT1,Huh7,FA_8_3_UV - Sph_UV,22.48559227,-0.130887196,0.482685846,0.750679159,no hit
LMNB1,Huh7,FA_8_3_UV - Sph_UV,26.69609586,-0.115447571,0.483261379,0.750679159,no hit
TPP2,Huh7,FA_8_3_UV - Sph_UV,27.12447032,-0.142531038,0.483386846,0.750679159,no hit
PSMA6,Huh7,FA_8_3_UV - Sph_UV,24.30855549,-0.149125499,0.484375955,0.751181941,no hit
RPS8,Huh7,FA_8_3_UV - Sph_UV,24.05617666,-0.099731196,0.48650627,0.753450726,no hit
HNRNPA0,Huh7,FA_8_3_UV - Sph_UV,22.99924154,-0.147844983,0.487179386,0.753459626,no hit
LETM1,Huh7,FA_8_3_UV - Sph_UV,24.14362588,-0.095931298,0.488821807,0.754965554,no hit
CTH,Huh7,FA_8_3_UV - Sph_UV,22.62909812,0.236342184,0.489873875,0.755428479,no hit
MANBA,Huh7,FA_8_3_UV - Sph_UV,24.16245926,-0.120534838,0.4910319,0.755428479,no hit
MAPK14,Huh7,FA_8_3_UV - Sph_UV,22.81800934,0.128644309,0.491128878,0.755428479,no hit
DLG1,Huh7,FA_8_3_UV - Sph_UV,24.24797197,-0.080787521,0.494717133,0.757607595,no hit
PRDX5,Huh7,FA_8_3_UV - Sph_UV,24.70460855,-0.167757363,0.494816741,0.757607595,no hit
NUDCD1,Huh7,FA_8_3_UV - Sph_UV,23.04617339,-0.102062516,0.496967358,0.757607595,no hit
NUP85,Huh7,FA_8_3_UV - Sph_UV,23.62608968,0.119545127,0.497331758,0.757607595,no hit
RPL7A,Huh7,FA_8_3_UV - Sph_UV,24.06014906,0.102231045,0.497410901,0.757607595,no hit
NUP188,Huh7,FA_8_3_UV - Sph_UV,24.48629308,-0.149424161,0.497519622,0.757607595,no hit
LGALS1,Huh7,FA_8_3_UV - Sph_UV,25.92464134,-0.244098736,0.497975239,0.757607595,no hit
ARCN1,Huh7,FA_8_3_UV - Sph_UV,23.45877525,-0.080528779,0.49863234,0.757607595,no hit
FTCD,Huh7,FA_8_3_UV - Sph_UV,23.29061864,0.121394364,0.498811194,0.757607595,no hit
DAP3,Huh7,FA_8_3_UV - Sph_UV,23.70732933,-0.163907551,0.499548267,0.757607595,no hit
EML2,Huh7,FA_8_3_UV - Sph_UV,23.79713176,0.186139523,0.499927067,0.757607595,no hit
ANP32E,Huh7,FA_8_3_UV - Sph_UV,23.54362236,0.17582506,0.500975847,0.758179265,no hit
RTL1,Huh7,FA_8_3_UV - Sph_UV,23.69326857,0.270857318,0.505119856,0.761747612,no hit
NDUFS1,Huh7,FA_8_3_UV - Sph_UV,25.04286992,0.069045207,0.505146369,0.761747612,no hit
ALDH18A1,Huh7,FA_8_3_UV - Sph_UV,25.08641322,-0.101509693,0.505357804,0.761747612,no hit
TOMM70,Huh7,FA_8_3_UV - Sph_UV,25.34844094,0.086985877,0.507552809,0.764036162,no hit
GLRX3,Huh7,FA_8_3_UV - Sph_UV,23.56934173,-0.130787702,0.508958629,0.765132214,no hit
RBM8A,Huh7,FA_8_3_UV - Sph_UV,24.61671334,-0.104220847,0.510790864,0.765323812,no hit
HEXA,Huh7,FA_8_3_UV - Sph_UV,26.12365682,-0.130724566,0.51086302,0.765323812,no hit
PPL,Huh7,FA_8_3_UV - Sph_UV,23.41096923,0.103760801,0.512011355,0.765323812,no hit
ERO1A,Huh7,FA_8_3_UV - Sph_UV,26.79005579,-0.094547418,0.512253488,0.765323812,no hit
FYCO1,Huh7,FA_8_3_UV - Sph_UV,23.9445216,-0.08570622,0.512475467,0.765323812,no hit
FAHD2A,Huh7,FA_8_3_UV - Sph_UV,25.19749784,0.093760097,0.513405874,0.765700439,no hit
PSMD3,Huh7,FA_8_3_UV - Sph_UV,22.96909658,-0.099994831,0.516072398,0.767671032,no hit
EIF3L,Huh7,FA_8_3_UV - Sph_UV,26.21031727,-0.106160651,0.516234924,0.767671032,no hit
NAGLU,Huh7,FA_8_3_UV - Sph_UV,23.45934918,0.096663516,0.5170997,0.767671032,no hit
ACADSB,Huh7,FA_8_3_UV - Sph_UV,24.50480456,0.090971624,0.517446993,0.767671032,no hit
DDX46,Huh7,FA_8_3_UV - Sph_UV,24.42474883,-0.088536723,0.518635348,0.768424289,no hit
BOP1,Huh7,FA_8_3_UV - Sph_UV,23.8217829,0.100517876,0.520320349,0.769910451,no hit
PLD3,Huh7,FA_8_3_UV - Sph_UV,23.57070852,0.071030775,0.521458207,0.770155854,no hit
NACA,Huh7,FA_8_3_UV - Sph_UV,23.00272067,-0.160680385,0.522220814,0.770155854,no hit
IGF2BP3,Huh7,FA_8_3_UV - Sph_UV,22.22268326,-0.102215804,0.522976062,0.770155854,no hit
COL6A1,Huh7,FA_8_3_UV - Sph_UV,23.15245858,0.276646558,0.523230618,0.770155854,no hit
HNRNPH3,Huh7,FA_8_3_UV - Sph_UV,23.40927614,-0.065488184,0.523896985,0.770155854,no hit
IMP3,Huh7,FA_8_3_UV - Sph_UV,22.38608821,-0.144040983,0.524955398,0.770708251,no hit
SET,Huh7,FA_8_3_UV - Sph_UV,25.24337454,-0.138037207,0.526219686,0.771561072,no hit
GBAS,Huh7,FA_8_3_UV - Sph_UV,23.92024696,0.153558454,0.529644226,0.775575008,no hit
MYO1B,Huh7,FA_8_3_UV - Sph_UV,26.20728598,-0.128732478,0.530550091,0.775895146,no hit
LSM6,Huh7,FA_8_3_UV - Sph_UV,24.53258597,0.104510638,0.53186743,0.776815431,no hit
BAZ1B,Huh7,FA_8_3_UV - Sph_UV,23.81283826,0.124259726,0.533391982,0.778032245,no hit
SYMPK,Huh7,FA_8_3_UV - Sph_UV,23.04697862,-0.208499301,0.534712541,0.778032245,no hit
TJP1,Huh7,FA_8_3_UV - Sph_UV,23.21905228,-0.092504969,0.534998011,0.778032245,no hit
STRBP,Huh7,FA_8_3_UV - Sph_UV,24.41152147,0.089749702,0.53545709,0.778032245,no hit
A2M,Huh7,FA_8_3_UV - Sph_UV,24.23489362,0.219679728,0.536890741,0.779112657,enriched no hit
LEO1,Huh7,FA_8_3_UV - Sph_UV,23.33692406,-0.07832383,0.538773131,0.779859026,no hit
KIF5B,Huh7,FA_8_3_UV - Sph_UV,25.47443787,0.092856042,0.538786573,0.779859026,no hit
POLR1B,Huh7,FA_8_3_UV - Sph_UV,22.29636305,-0.093928228,0.540669969,0.780003528,no hit
DLAT,Huh7,FA_8_3_UV - Sph_UV,23.28938497,0.071702438,0.54078337,0.780003528,no hit
TBC1D15,Huh7,FA_8_3_UV - Sph_UV,23.44302637,0.076851619,0.542162982,0.780003528,no hit
PPP4R3A,Huh7,FA_8_3_UV - Sph_UV,25.18507185,-0.075357031,0.542505459,0.780003528,no hit
CDC5L,Huh7,FA_8_3_UV - Sph_UV,23.87773193,0.111418783,0.543398425,0.780003528,no hit
MRPL49,Huh7,FA_8_3_UV - Sph_UV,23.27000815,-0.068237225,0.544439477,0.780003528,no hit
ENOPH1,Huh7,FA_8_3_UV - Sph_UV,23.14654759,-0.112925992,0.544739544,0.780003528,no hit
RUFY1,Huh7,FA_8_3_UV - Sph_UV,23.92269809,0.072658339,0.544886837,0.780003528,no hit
EIF4E,Huh7,FA_8_3_UV - Sph_UV,23.66337277,-0.070684435,0.545818571,0.780003528,no hit
MRPL19,Huh7,FA_8_3_UV - Sph_UV,22.62995669,0.096672066,0.546305836,0.780003528,no hit
KPNA1,Huh7,FA_8_3_UV - Sph_UV,23.97954735,0.059378456,0.546486086,0.780003528,no hit
HNRNPAB,Huh7,FA_8_3_UV - Sph_UV,24.7037425,0.10173006,0.550554351,0.784818008,no hit
DDX5,Huh7,FA_8_3_UV - Sph_UV,26.04588162,-0.124959114,0.554067833,0.788096499,no hit
GOT2,Huh7,FA_8_3_UV - Sph_UV,26.238535,-0.067302808,0.554250328,0.788096499,no hit
CKAP4,Huh7,FA_8_3_UV - Sph_UV,24.33343627,0.08652274,0.555485858,0.788859791,no hit
IPO7,Huh7,FA_8_3_UV - Sph_UV,26.7927866,0.068177531,0.556954196,0.789249271,no hit
INTS3,Huh7,FA_8_3_UV - Sph_UV,22.44500224,-0.111276656,0.557228378,0.789249271,no hit
HSPH1,Huh7,FA_8_3_UV - Sph_UV,24.91008358,-0.105508575,0.557857324,0.789249271,no hit
DHX9,Huh7,FA_8_3_UV - Sph_UV,26.99810337,-0.119977607,0.559844231,0.791069008,no hit
GGH,Huh7,FA_8_3_UV - Sph_UV,22.99111013,0.149002915,0.562694552,0.792973554,no hit
SGTA,Huh7,FA_8_3_UV - Sph_UV,24.24697168,0.126524338,0.563543881,0.792973554,no hit
ACADVL,Huh7,FA_8_3_UV - Sph_UV,25.6467425,0.156660816,0.563725265,0.792973554,no hit
PSMA7,Huh7,FA_8_3_UV - Sph_UV,24.51693724,0.070349064,0.564766404,0.792973554,no hit
IDH1,Huh7,FA_8_3_UV - Sph_UV,23.86131256,0.164305718,0.565882261,0.792973554,no hit
PPP6C,Huh7,FA_8_3_UV - Sph_UV,24.19445428,0.073914164,0.566318813,0.792973554,no hit
PREP,Huh7,FA_8_3_UV - Sph_UV,23.64181648,0.096334943,0.566649048,0.792973554,no hit
ASNA1,Huh7,FA_8_3_UV - Sph_UV,24.56034366,-0.058091472,0.566811035,0.792973554,no hit
YWHAZ,Huh7,FA_8_3_UV - Sph_UV,25.64543208,0.174180425,0.568790739,0.794758347,no hit
GPX4,Huh7,FA_8_3_UV - Sph_UV,22.77080339,0.105272841,0.571776306,0.797213979,no hit
CENPF,Huh7,FA_8_3_UV - Sph_UV,27.02040585,0.09048402,0.571960428,0.797213979,no hit
SPATA20,Huh7,FA_8_3_UV - Sph_UV,23.62632285,0.077820175,0.574192305,0.799337992,no hit
RPL5,Huh7,FA_8_3_UV - Sph_UV,24.26626357,0.10039179,0.575409803,0.800046389,no hit
PSMB7,Huh7,FA_8_3_UV - Sph_UV,24.12906394,0.119427799,0.576385684,0.800417512,no hit
AKR1A1,Huh7,FA_8_3_UV - Sph_UV,24.02464232,0.151297434,0.577933772,0.801581361,no hit
PLRG1,Huh7,FA_8_3_UV - Sph_UV,22.2539114,-0.106859833,0.582594088,0.806610658,no hit
EHMT1,Huh7,FA_8_3_UV - Sph_UV,23.08116743,-0.108257469,0.583243039,0.806610658,no hit
MARS2,Huh7,FA_8_3_UV - Sph_UV,23.23500873,0.072721953,0.583703195,0.806610658,no hit
HEXIM1,Huh7,FA_8_3_UV - Sph_UV,22.80953326,0.072703156,0.585773043,0.807338002,no hit
NDUFS3,Huh7,FA_8_3_UV - Sph_UV,23.22069625,-0.09380717,0.586095224,0.807338002,no hit
PRDX3,Huh7,FA_8_3_UV - Sph_UV,25.98114716,-0.106932851,0.586748896,0.807338002,enriched no hit
TIMM44,Huh7,FA_8_3_UV - Sph_UV,23.4675435,-0.142853125,0.587089902,0.807338002,no hit
UHRF1,Huh7,FA_8_3_UV - Sph_UV,23.09152511,-0.107950947,0.58864867,0.808496774,no hit
NUP160,Huh7,FA_8_3_UV - Sph_UV,24.82281992,-0.134411672,0.589987514,0.809351037,no hit
GLA,Huh7,FA_8_3_UV - Sph_UV,23.50969387,-0.181862341,0.592406266,0.811682857,no hit
COLGALT1,Huh7,FA_8_3_UV - Sph_UV,25.93749386,-0.070159838,0.595328605,0.814082958,no hit
PHLDB2,Huh7,FA_8_3_UV - Sph_UV,24.77215156,-0.095950665,0.595658716,0.814082958,no hit
GNL2,Huh7,FA_8_3_UV - Sph_UV,23.66877022,0.093177037,0.596321174,0.814082958,no hit
SF3B2,Huh7,FA_8_3_UV - Sph_UV,24.87207869,0.096268103,0.598016841,0.815411852,no hit
ERP29,Huh7,FA_8_3_UV - Sph_UV,24.79256704,-0.175351236,0.600254064,0.816882872,no hit
CBX3,Huh7,FA_8_3_UV - Sph_UV,24.47506846,-0.173521777,0.600542767,0.816882872,no hit
MDH2,Huh7,FA_8_3_UV - Sph_UV,26.87334092,-0.061902143,0.604367958,0.821096781,no hit
CUL5,Huh7,FA_8_3_UV - Sph_UV,22.82193016,0.082429305,0.609282009,0.82509696,no hit
PGM1,Huh7,FA_8_3_UV - Sph_UV,22.76753288,-0.075026677,0.609596665,0.82509696,no hit
FUS,Huh7,FA_8_3_UV - Sph_UV,24.18327692,0.085539124,0.610544809,0.82509696,no hit
CTSB,Huh7,FA_8_3_UV - Sph_UV,24.31622665,0.087788077,0.610782944,0.82509696,no hit
RPL7,Huh7,FA_8_3_UV - Sph_UV,23.55888758,0.113687334,0.611597952,0.82509696,no hit
CLPX,Huh7,FA_8_3_UV - Sph_UV,22.8553466,-0.097642761,0.611697215,0.82509696,no hit
VCL,Huh7,FA_8_3_UV - Sph_UV,27.41213145,0.080501168,0.612564367,0.825280633,no hit
EIF3D,Huh7,FA_8_3_UV - Sph_UV,24.48037881,-0.053056313,0.614503081,0.826905815,no hit
ACO2,Huh7,FA_8_3_UV - Sph_UV,26.76701058,-0.075561084,0.615352458,0.827063006,no hit
SF3B3,Huh7,FA_8_3_UV - Sph_UV,27.06409764,-0.097302087,0.616709344,0.827558614,no hit
DLD,Huh7,FA_8_3_UV - Sph_UV,23.26446221,0.07670646,0.617187204,0.827558614,no hit
PDIA4,Huh7,FA_8_3_UV - Sph_UV,28.07061429,-0.120496344,0.619129824,0.828315746,enriched no hit
RFC3,Huh7,FA_8_3_UV - Sph_UV,24.35117326,-0.067560737,0.619219211,0.828315746,no hit
MAP1B,Huh7,FA_8_3_UV - Sph_UV,25.86366292,-0.159795915,0.62144075,0.830303676,no hit
7-Sep,Huh7,FA_8_3_UV - Sph_UV,23.63973265,0.072286653,0.622348412,0.830533519,no hit
RRBP1,Huh7,FA_8_3_UV - Sph_UV,26.85760593,0.055378705,0.625659279,0.833966146,no hit
GFM1,Huh7,FA_8_3_UV - Sph_UV,26.69446122,-0.072312875,0.628355221,0.835977872,no hit
HEATR1,Huh7,FA_8_3_UV - Sph_UV,24.87600575,0.109329834,0.628649436,0.835977872,no hit
EIF6,Huh7,FA_8_3_UV - Sph_UV,23.88413592,0.074918339,0.630100457,0.836921666,no hit
DDX21,Huh7,FA_8_3_UV - Sph_UV,25.39703054,-0.053312651,0.633363074,0.84026664,no hit
PDHA1,Huh7,FA_8_3_UV - Sph_UV,25.88857428,0.054588952,0.634377281,0.840624354,no hit
OTUB1,Huh7,FA_8_3_UV - Sph_UV,23.33824337,-0.095170337,0.641437718,0.848770556,no hit
PABPC1,Huh7,FA_8_3_UV - Sph_UV,26.18645296,0.052474462,0.642028392,0.848770556,no hit
RPL18,Huh7,FA_8_3_UV - Sph_UV,23.49715056,0.086063303,0.644648587,0.850186362,no hit
TBRG4,Huh7,FA_8_3_UV - Sph_UV,22.7466215,0.097626829,0.644831538,0.850186362,no hit
MTHFD1L,Huh7,FA_8_3_UV - Sph_UV,25.28625614,0.078202725,0.645498759,0.850186362,no hit
NXF1,Huh7,FA_8_3_UV - Sph_UV,23.77810847,0.133338684,0.646316168,0.850186362,no hit
GFM2,Huh7,FA_8_3_UV - Sph_UV,22.41751637,0.075829152,0.647014504,0.850186362,no hit
RMDN3,Huh7,FA_8_3_UV - Sph_UV,24.31447741,-0.07847731,0.648373662,0.850186362,no hit
CSTF3,Huh7,FA_8_3_UV - Sph_UV,22.88077726,-0.058883383,0.648638741,0.850186362,no hit
CCT6A,Huh7,FA_8_3_UV - Sph_UV,25.21978092,0.05402383,0.649750552,0.850186362,no hit
PLS3,Huh7,FA_8_3_UV - Sph_UV,25.86558393,0.06314748,0.650173332,0.850186362,no hit
RTCB,Huh7,FA_8_3_UV - Sph_UV,23.86785216,0.059865787,0.650629776,0.850186362,no hit
NUP133,Huh7,FA_8_3_UV - Sph_UV,26.42448726,-0.076993882,0.654727494,0.854551839,no hit
DDB1,Huh7,FA_8_3_UV - Sph_UV,27.31874122,-0.049481212,0.655982019,0.855200576,no hit
STRN3,Huh7,FA_8_3_UV - Sph_UV,23.21393716,0.072056119,0.657136048,0.855716953,no hit
OGDHL,Huh7,FA_8_3_UV - Sph_UV,24.3247292,0.053285865,0.658075583,0.855802502,no hit
ETHE1,Huh7,FA_8_3_UV - Sph_UV,23.34100177,-0.051001497,0.65871778,0.855802502,no hit
PARVA,Huh7,FA_8_3_UV - Sph_UV,23.25248524,0.055988822,0.659545845,0.855893401,no hit
NIP7,Huh7,FA_8_3_UV - Sph_UV,23.04922445,0.091164285,0.660652635,0.856345379,enriched no hit
