gene_name,logFC_PA,logFC_PE,pvalue_PA,pvalue_PE,hit_annotation_PA,hit_annotation_PE
HARS,-0.8074889,-1.033696,0.0137303,0.0025679,no hit,no hit
CAND1,-0.9088526,-0.3867741,0.0137839,0.2612188,no hit,no hit
FDPS,-1.0565812,-1.1397483,0.0138986,0.0087567,no hit,no hit
GSTK1,0.9017188,1.3693811,0.0139953,0.0006165,enriched candidate,enriched hit
ETFB,1.0624366,1.8921709,0.0140953,0.0001281,enriched candidate,enriched hit
LY6K,0.8385584,1.2372256,0.0142151,0.0008218,enriched candidate,enriched hit
NOMO1|NOMO3|NOMO2,0.9539389,1.3588072,0.0146567,0.001173,enriched candidate,enriched hit
BASP1,1.9995488,2.4353819,0.0148356,0.004132,enriched candidate,enriched hit
PRKCSH,0.6993345,0.2732514,0.0151703,0.3087731,enriched candidate,no hit
GANAB,0.7327816,0.9974384,0.0155799,0.0018765,enriched candidate,enriched candidate
COX4I1,0.9876078,1.3284838,0.0165074,0.0022412,enriched candidate,enriched hit
EIF4B,-1.6765027,-2.0360043,0.0166077,0.0048674,no hit,no hit
PLS3,0.692714,0.6701795,0.016647,0.0199473,enriched candidate,enriched candidate
HSPA9,1.2165599,1.9695718,0.0169997,0.0004665,enriched candidate,enriched hit
CD44,0.7504626,0.7995567,0.0172474,0.0119663,enriched candidate,enriched candidate
SLC25A5,1.0757471,1.9265948,0.0178012,0.0001863,enriched candidate,enriched hit
LDHA,-1.0940288,-1.1451179,0.0179713,0.013886,no hit,no hit
CYP51A1,0.6923136,1.037972,0.0183088,0.0010615,enriched candidate,enriched hit
BST2,-0.5837096,-0.8496488,0.0183943,0.0013782,no hit,no hit
SERPINB5,-1.2072295,-1.3448798,0.0187761,0.010015,no hit,no hit
RDH11,0.9828302,1.1454376,0.0190882,0.0076554,enriched candidate,enriched hit
STEAP4,0.6904106,0.7080156,0.0192346,0.0167519,enriched candidate,enriched candidate
RAB35,0.9938404,1.3126777,0.0195449,0.0032748,enriched candidate,enriched hit
NUDT5,-1.1725917,-1.1996755,0.0196409,0.0173414,no hit,no hit
HPD,-0.8261069,-1.1001446,0.0197387,0.0031206,no hit,no hit
FH,1.0869163,1.9067402,0.0201251,0.0002889,enriched candidate,enriched hit
STX4,1.1623278,1.1191094,0.0204003,0.0248381,enriched candidate,enriched candidate
PPP2CA,-0.6038101,-0.5655153,0.0204561,0.0285701,no hit,no hit
CMBL,-0.8246131,-1.0986435,0.0205955,0.0033027,no hit,no hit
AXL,0.6605263,0.711685,0.0211588,0.013998,enriched candidate,enriched candidate
RAB18,-0.6475098,-0.6559605,0.0215452,0.0201149,no hit,no hit
NUTF2,-0.8619663,-0.9661471,0.0218436,0.0114805,no hit,no hit
LDHB,-1.0726842,-1.2577723,0.0218544,0.0086771,no hit,no hit
ABHD14B,-0.8417298,-0.8629057,0.0225916,0.0198159,no hit,no hit
GSTO1,-1.4148474,-1.6603257,0.0227676,0.0090753,no hit,no hit
SCCPDH,0.7664889,1.0578445,0.0228555,0.0029388,enriched candidate,enriched hit
GDI2,-0.6969195,-0.6372051,0.0232498,0.0359314,no hit,no hit
PNP,-0.8627469,-1.0972216,0.0232774,0.0054741,no hit,no hit
PRSS21,0.6963114,0.9508782,0.0233809,0.0032925,enriched candidate,enriched candidate
ANP32B,-1.3860798,-1.4036057,0.0236871,0.0221968,no hit,no hit
SLC25A6,1.1797124,1.7670341,0.0238151,0.0016322,enriched candidate,enriched hit
CPS1,1.0270738,1.6495991,0.0239479,0.0009057,enriched candidate,enriched hit
ANP32A,-1.1868057,-1.0616081,0.0244341,0.0413937,no hit,no hit
AIFM1,1.0483436,1.7119607,0.0246193,0.0008197,enriched candidate,enriched hit
TXN,-0.8956316,-1.040575,0.0247717,0.0107042,no hit,no hit
YWHAB,-0.8802779,-1.1334477,0.0248553,0.005492,no hit,no hit
PDHB,1.06992,1.7764359,0.0248684,0.0007183,enriched candidate,enriched hit
PTGES,0.5018075,0.5596113,0.025071,0.0138701,no hit,no hit
PTPRJ,0.5950299,0.5901194,0.0251618,0.0262311,enriched candidate,enriched candidate
CLPTM1L,1.0283125,1.5259723,0.0256774,0.0019886,enriched candidate,enriched hit
SCAMP3,-0.6761965,-0.7810753,0.0257679,0.0116302,no hit,no hit
CLIC4,0.4297073,0.27355,0.0265122,0.1415954,no hit,no hit
PPP2R1A,-0.9015254,-0.7913703,0.0269971,0.0488287,no hit,no hit
KRAS,0.7409604,0.5669426,0.0275758,0.0833111,enriched candidate,no hit
ATP5F1,0.8173218,1.2246776,0.0276858,0.0020778,enriched candidate,enriched hit
CLTA,-0.839567,-1.0333273,0.0277006,0.0085783,no hit,no hit
ACAT1,1.0392981,1.6812198,0.0277856,0.0011031,enriched candidate,enriched hit
ATP5C1,1.1618019,1.8541359,0.027949,0.0012522,enriched candidate,enriched hit
TRAP1,1.2101336,1.7001014,0.0280957,0.0035008,enriched candidate,enriched hit
CD46,0.56018,0.2873589,0.0281057,0.2367035,no hit,no hit
UBA1,-0.8405999,-0.9717312,0.0293119,0.0135212,no hit,no hit
PSME3,-0.745981,-0.8403125,0.0303332,0.0163339,no hit,no hit
UQCRC2,0.9581527,1.2745486,0.0313243,0.00607,enriched candidate,enriched hit
PLIN3,-1.0299114,-1.3996025,0.0315516,0.0052927,no hit,no hit
ADPGK,0.4577273,0.5923353,0.0316733,0.0074157,no hit,enriched candidate
YBX1,-1.7691166,-1.5395923,0.032033,0.0582983,no hit,no hit
ICAM1,0.6716955,0.6189284,0.0323045,0.0465526,enriched candidate,enriched candidate
TUBB4B,-0.6867938,-0.6738949,0.0324495,0.0354415,no hit,no hit
APOL2,0.7718817,0.8687097,0.0326253,0.0178734,enriched candidate,enriched candidate
SAR1A,-0.7370703,-0.5664139,0.032772,0.0925463,no hit,no hit
YWHAE,-0.7459078,-0.9455276,0.0330316,0.0089787,no hit,no hit
ACTC1|ACTA1,0.8024025,1.1429917,0.0333403,0.0041133,enriched candidate,enriched hit
SSR4,0.5855332,0.7930475,0.0335823,0.0059367,enriched candidate,enriched candidate
GPI,-0.7734076,-0.4952956,0.0336305,0.158271,no hit,no hit
ABCG2,1.2601713,1.3966358,0.0336884,0.0201581,enriched candidate,enriched candidate
CALM1,0.7661187,0.5945353,0.0337566,0.0915021,enriched candidate,no hit
IGSF8,0.8283054,0.7600261,0.0340433,0.0496476,enriched candidate,enriched candidate
PGD,-0.8701061,-0.7006273,0.0341524,0.0815206,no hit,no hit
CD58,0.7876075,0.6673019,0.0347561,0.068949,enriched candidate,enriched candidate
SERPINB6,-0.7724718,-1.0582488,0.0363172,0.0061664,no hit,no hit
PGAM1,-1.0205799,-1.0660334,0.0364536,0.0297145,no hit,no hit
HSD17B4,0.7042386,1.1843335,0.0365094,0.001297,enriched candidate,enriched hit
PLXNB2,0.5541265,0.6764503,0.0367329,0.01302,no hit,enriched candidate
ATP5O,0.9459344,1.6234003,0.0378524,0.0011672,enriched candidate,enriched hit
GLUD1,1.1635431,1.4708045,0.0378675,0.0109963,enriched candidate,enriched candidate
SRPRA,0.8512058,0.8844125,0.0392771,0.0329737,enriched candidate,enriched candidate
CACYBP,-0.8579596,-0.9174785,0.0393082,0.0287563,no hit,no hit
TFG,-1.1244618,-1.1206098,0.0396581,0.0402656,no hit,no hit
BTF3,-1.2375595,-1.7200158,0.0404243,0.006574,no hit,no hit
ZNF598,-0.7775675,-0.9992775,0.041073,0.0111141,no hit,no hit
S100A6,-1.3047142,-1.6077461,0.0411125,0.0142806,no hit,no hit
S100A11,-1.3524704,-2.2091287,0.0412764,0.0020713,no hit,no hit
TALDO1,-1.3120526,-1.6459841,0.0413439,0.0129596,no hit,no hit
NPEPPS,-0.6058937,-0.5433176,0.0414172,0.0645348,no hit,no hit
GNAI3,0.8393447,0.9391857,0.0415973,0.0244602,enriched candidate,enriched candidate
FKBP4,-0.6903636,-0.3854934,0.0416527,0.2367259,no hit,no hit
PTGR1,-0.7531171,-0.990376,0.0417106,0.0098556,no hit,no hit
SERBP1,-1.807928,-2.5061499,0.042747,0.0072845,no hit,no hit
CSE1L,-0.8647388,-0.7954495,0.0431564,0.0607079,no hit,no hit
MIF,-1.04417,-1.4407526,0.0435434,0.0077227,no hit,no hit
ECH1,1.0900183,1.5722015,0.0437041,0.0057688,enriched candidate,enriched hit
B4GALT1,-0.7047253,-0.8345779,0.0438584,0.0193717,no hit,no hit
ANXA1,-0.5224248,-0.2255554,0.0441086,0.3627332,no hit,no hit
CTTN,0.9015442,0.8124718,0.0445032,0.067396,enriched candidate,enriched candidate
PTGFRN,0.7274874,0.5533771,0.0448288,0.1184281,enriched candidate,no hit
IQGAP1,1.3980589,1.3611695,0.0448654,0.0501907,enriched candidate,enriched candidate
TXNDC5,0.6153251,0.8399299,0.044958,0.0086885,enriched candidate,enriched candidate
MDH2,0.8705424,1.3314963,0.0449768,0.0039903,enriched candidate,enriched hit
UQCRC1,0.7136781,1.1517412,0.0451219,0.0026798,enriched candidate,enriched hit
MYL6,0.5961698,0.5520476,0.0457694,0.0623811,enriched candidate,no hit
PUF60,-0.4712617,-0.420779,0.0460849,0.0718511,no hit,no hit
RDX,1.3039637,1.1493159,0.0461561,0.0753589,enriched candidate,enriched candidate
GNG12,0.5021224,0.2823064,0.0462213,0.2445786,no hit,no hit
ATP5A1,0.8481773,1.6104386,0.0485491,0.0007948,no hit,enriched hit
RAP1A,0.5320556,0.7579538,0.0490914,0.0075436,no hit,enriched candidate
AGL,-1.0040286,-1.202955,0.0494766,0.0212008,no hit,no hit
SKP1,-0.7393452,-0.8009505,0.049882,0.0351854,no hit,no hit
GLOD4,-0.8477743,-0.9762664,0.0500377,0.0263486,no hit,no hit
TXNRD1,-0.6101066,-0.6128501,0.0505713,0.0496451,no hit,no hit
RPN2,0.7968537,1.3097488,0.0507365,0.0028882,no hit,enriched hit
PPP1CA,0.4903157,0.3873057,0.0512769,0.1165183,no hit,no hit
HSPH1,-0.5318265,-0.4065802,0.053184,0.1311818,no hit,no hit
SLC25A24,0.9698108,1.1350588,0.053595,0.0264327,no hit,enriched candidate
KPNB1,-0.6698115,-0.6399123,0.053899,0.064389,no hit,no hit
TM9SF2,-0.9274344,-1.0517459,0.0541365,0.0312049,no hit,no hit
HSPA4,-0.7347511,-0.4536348,0.0542675,0.2200571,no hit,no hit
ITGA6,0.616065,0.5598786,0.0546545,0.0781872,no hit,no hit
DHCR7,0.8628836,1.1478017,0.0555554,0.0139149,no hit,enriched candidate
BPNT1,-0.5667511,-0.5567825,0.0562577,0.0603012,no hit,no hit
YWHAH,-0.7761973,-1.1368576,0.0565507,0.0079065,no hit,no hit
NMT1,-1.162087,-1.7092048,0.0570214,0.0077993,no hit,no hit
RP2,0.6859755,0.4805714,0.0590441,0.1751859,no hit,no hit
CIB1,0.4424269,0.076756,0.0602315,0.732177,no hit,no hit
TRIM28,0.6867347,0.7648885,0.0605151,0.0386461,no hit,enriched candidate
MSLN,0.5925356,0.415097,0.0607018,0.1781403,no hit,no hit
NECTIN2,0.4771873,0.2047078,0.0613481,0.4035085,no hit,no hit
AKR1B1,-0.7648907,-0.9349887,0.0617305,0.02546,no hit,no hit
SLC25A3,0.8302348,1.5530089,0.0623183,0.0015558,no hit,enriched hit
ADAM10,0.4694021,0.7025148,0.0627386,0.0081764,no hit,enriched candidate
TPD52L2,-0.7235519,-1.0737492,0.0629491,0.008683,no hit,no hit
GTF2I,0.7782688,1.0808547,0.0631256,0.0131048,no hit,enriched candidate
PPIF,0.9239184,1.6091492,0.0645972,0.0029664,no hit,enriched hit
HMOX2,0.482978,0.5548688,0.0668045,0.0378085,no hit,no hit
GOLT1B,-0.5355459,-0.5745379,0.0676244,0.0514464,no hit,no hit
PARK7,-0.7473461,-0.8083441,0.0691631,0.0510112,no hit,no hit
ACO2,0.6691561,1.0844205,0.0696929,0.0058022,no hit,enriched hit
YWHAG,-0.4642422,-0.8470333,0.0697281,0.002427,no hit,no hit
ETFA,0.7791291,1.173119,0.0700165,0.0094913,no hit,enriched candidate
WDR1,1.1206443,1.1555536,0.0702509,0.0626577,no hit,enriched candidate
SHMT2,1.1096423,1.8917486,0.071513,0.0042664,no hit,enriched hit
GNG5,0.5357813,0.3309812,0.0717179,0.252744,no hit,no hit
AP1B1,-0.4693235,-0.8364574,0.0726385,0.0031716,no hit,no hit
RAB31,0.475915,0.6653932,0.0729057,0.0157856,no hit,enriched candidate
RBBP4,0.542319,0.2505057,0.0732154,0.3913247,no hit,no hit
ATP1A1,0.568779,0.8566751,0.0735322,0.0103066,no hit,enriched candidate
SDHA,0.9086139,1.6885254,0.0736665,0.002367,no hit,enriched hit
POR,0.6752719,1.2822349,0.0747595,0.0020604,no hit,enriched hit
EIF5A,-1.3670257,-1.6858074,0.0755064,0.0318463,no hit,no hit
LIFR,0.4648637,0.4255133,0.0757462,0.1016881,no hit,no hit
MME,-0.4869324,-0.9887385,0.0762257,0.0012362,no hit,no hit
ITGA5,0.6907537,0.6910638,0.0768046,0.0766832,no hit,enriched candidate
SFXN1,0.8439585,1.3278179,0.0772622,0.0085487,no hit,enriched hit
PPA1,-0.9022483,-1.0180095,0.077474,0.0488178,no hit,no hit
RAP2C,0.4012618,0.4555885,0.077979,0.0479289,no hit,no hit
GLO1,-0.9432437,-1.2287457,0.0804913,0.0266674,no hit,no hit
PA2G4,-1.0323648,-1.358083,0.0813144,0.0257705,no hit,no hit
DSG2,0.5092099,0.5182017,0.0815305,0.0767096,no hit,no hit
LAMC1,0.5137819,0.2155576,0.0816605,0.4493452,no hit,no hit
GSTM3,-0.7007375,-0.4917216,0.0820878,0.2127673,no hit,no hit
GOT2,0.8470544,1.514231,0.0823144,0.0040398,no hit,enriched hit
SLC43A3,0.5485201,0.0663466,0.0826897,0.8267207,no hit,no hit
OXCT1,0.659515,1.3439306,0.083171,0.0014839,no hit,enriched hit
CS,1.4016306,2.2800407,0.0834149,0.0079509,no hit,enriched hit
PRDX1,-0.8641678,-1.0643709,0.0842449,0.0370733,no hit,no hit
USP14,-0.602144,-0.7050309,0.0850444,0.0468237,no hit,no hit
RMDN1,0.7151034,1.2567316,0.08528,0.0049203,no hit,enriched hit
PGK1,-0.7322022,-0.8622865,0.0870973,0.0470823,no hit,no hit
BUB3,-0.4248345,-0.3829254,0.0872845,0.1205178,no hit,no hit
HSP90B1,0.8768021,1.3699159,0.0874302,0.0111871,no hit,enriched candidate
UBXN4,0.5163635,0.6651792,0.0887183,0.0323534,no hit,enriched candidate
CAPZA1,-0.5595352,-0.3641191,0.088927,0.2573339,no hit,no hit
ACSL3,1.0994523,1.4123138,0.0890577,0.0329646,no hit,enriched candidate
SLC44A2,0.8047551,0.7306552,0.0904399,0.1217162,no hit,no hit
PEBP1,-1.0342547,-1.3508123,0.0915596,0.0317146,no hit,no hit
TRMT10C,0.7804957,1.3265029,0.0921464,0.0072551,no hit,enriched hit
NEGR1,0.3925125,0.2330619,0.0943592,0.3084358,no hit,no hit
MLEC,0.5586669,0.9309872,0.0946951,0.0087084,no hit,enriched candidate
QARS,0.3944565,0.2932767,0.0972788,0.2099295,no hit,no hit
ENO1,-0.6567392,-0.5858189,0.0973372,0.1361995,no hit,no hit
GDA,-0.6464967,-0.6086386,0.0986695,0.1184982,no hit,no hit
RPS28,-0.6225026,-0.9282649,0.0987896,0.0181941,no hit,no hit
ARFGAP1,-0.5605887,-0.9075345,0.0993044,0.01144,no hit,no hit
ECI1,0.8083904,1.149963,0.1000294,0.0238445,no hit,enriched candidate
DAG1,0.6328029,0.4841418,0.1001741,0.2015386,no hit,no hit
F11R,0.6703346,0.5786599,0.1011202,0.1531764,no hit,no hit
TUFM,1.1617206,1.7057189,0.1027527,0.0211509,no hit,enriched candidate
HSPA1B|HSPA1A,-0.4351823,-0.1209898,0.1032678,0.6391645,no hit,no hit
MAT2A,-0.6444786,-0.728659,0.1032697,0.0681141,no hit,no hit
SLC1A5,0.4066043,0.179562,0.1039616,0.4594581,no hit,no hit
ALDH3A2,0.7284483,1.1699565,0.104558,0.0132371,no hit,enriched candidate
PRDX3,1.1454577,1.5097689,0.1060583,0.0376813,no hit,enriched candidate
CLINT1,-1.0843148,-1.6696676,0.1061654,0.0173164,no hit,no hit
CAPN2,-0.4646363,-0.3366213,0.1093045,0.2381256,no hit,no hit
CD59,0.5405265,0.5149523,0.1099009,0.1265537,no hit,no hit
ATL2,0.5416945,0.7326634,0.1101676,0.0354658,no hit,enriched candidate
EIF3M,-0.5956659,-0.7569095,0.1116491,0.0475652,no hit,no hit
MYDGF,0.64111,0.4473981,0.1119904,0.2588817,no hit,no hit
CAPRIN1,-1.1131676,-1.8752007,0.113929,0.0118013,no hit,no hit
DLD,0.9607469,1.4164378,0.1139656,0.0247059,no hit,enriched candidate
RAN,-0.3879245,-0.1126817,0.1141586,0.6355767,no hit,no hit
GIGYF2,-0.8588753,-1.3041414,0.1155944,0.0217537,no hit,no hit
DSP,-0.7004315,-0.8915726,0.1169136,0.0503811,no hit,no hit
LSS,0.3643852,0.4395606,0.1178693,0.0630021,no hit,no hit
CDH10,0.5228095,0.4905615,0.1191043,0.1420662,no hit,no hit
SLC38A5,0.5757868,0.3688671,0.1195638,0.3091078,no hit,no hit
USP10,-0.7552357,-1.2279646,0.1196238,0.0159862,no hit,no hit
MCAM,0.7428621,0.8024138,0.1198088,0.0946603,no hit,no hit
MSN,1.4877823,1.3495103,0.1198543,0.1558913,no hit,no hit
TLN1,0.4964995,0.5474012,0.1200941,0.0887615,no hit,no hit
ALG5,0.6799184,1.0268735,0.120567,0.0241057,no hit,enriched candidate
SUPT16H,0.3565489,0.2253326,0.1207534,0.3171152,no hit,no hit
CCT8,0.5130406,0.1856713,0.121007,0.5633561,no hit,no hit
MMP15,0.4099008,0.2804082,0.1213524,0.2807919,no hit,no hit
ADAM9,0.4688802,0.5977875,0.1214535,0.0528125,no hit,enriched candidate
TAPBP,0.5379738,1.0205991,0.1215162,0.0063619,no hit,enriched hit
BZW2,-0.5642821,-0.3594154,0.1219288,0.3150239,no hit,no hit
DDOST,0.587256,0.8253849,0.122585,0.0351435,no hit,enriched candidate
EPB41L2,0.9540247,0.9189382,0.1226985,0.1361664,no hit,no hit
SUCLG2,0.8475886,1.2854421,0.1232421,0.0245393,no hit,enriched candidate
LRPPRC,0.8803241,1.4431776,0.1235478,0.0162604,no hit,enriched candidate
G3BP2,-1.3005146,-1.7375196,0.1238397,0.0447151,no hit,no hit
RPN1,0.9055281,1.2928639,0.1245692,0.0335417,no hit,enriched candidate
RAB8A,0.3653774,0.3123164,0.1251734,0.1861486,no hit,no hit
C17orf75,-0.3864451,-0.4159497,0.1263078,0.1015336,no hit,no hit
